Value,Panel,Age,NR.mu,labs
-1,2waycladding,65,4.4,Somewhat artificial
-1,2waycladding,50,3.25,Somewhat artificial
1,2waycladding,43,4.8,Somewhat natural
2,2waycladding,51,4,Natural
2,2waycladding,66,5,Natural
0,2waycladding,41,2.8,Neutral
2,2waycladding,37,4,Natural
1,2waycladding,58,1.4,Somewhat natural
0,2waycladding,60,3.2,Neutral
0,2waycladding,32,4.6,Neutral
2,2waycladding,50,2.5,Natural
1,2waycladding,58,4,Somewhat natural
1,2waycladding,59,3.4,Somewhat natural
-2,2waycladding,79,4.4,Artificial
1,2waycladding,49,3.8,Somewhat natural
2,2waycladding,68,4.2,Natural
1,2waycladding,54,4.4,Somewhat natural
1,2waycladding,73,3.8,Somewhat natural
0,2waycladding,58,4.4,Neutral
0,2waycladding,45,3.8,Neutral
0,2waycladding,70,4.6,Neutral
1,2waycladding,57,4.8,Somewhat natural
-1,2waycladding,23,4,Somewhat artificial
2,2waycladding,44,3.5,Natural
0,2waycladding,38,3.8,Neutral
2,2waycladding,73,4.2,Natural
1,2waycladding,50,2.8,Somewhat natural
-2,2waycladding,47,2.4,Artificial
2,2waycladding,58,4.8,Natural
2,2waycladding,56,4.8,Natural
1,2waycladding,84,3,Somewhat natural
-1,2waycladding,38,4.6,Somewhat artificial
2,2waycladding,56,4.2,Natural
0,2waycladding,40,3.2,Neutral
2,2waycladding,54,3.25,Natural
1,2waycladding,61,4.75,Somewhat natural
1,2waycladding,60,3.4,Somewhat natural
2,2waycladding,49,4,Natural
1,2waycladding,26,2.8,Somewhat natural
1,2waycladding,26,2.5,Somewhat natural
-1,2waycladding,23,3,Somewhat artificial
1,2waycladding,26,3.4,Somewhat natural
1,2waycladding,28,4,Somewhat natural
-1,2waycladding,25,3,Somewhat artificial
2,2waycladding,63,3.3333333333333335,Natural
0,2waycladding,65,3.8,Neutral
1,2waycladding,27,4.2,Somewhat natural
2,2waycladding,41,4,Natural
2,2waycladding,58,4,Natural
1,2waycladding,62,4,Somewhat natural
-1,2waycladding,47,3.4,Somewhat artificial
1,2waycladding,45,4.6,Somewhat natural
-2,2waycladding,33,4.2,Artificial
-1,2waycladding,33,3.2,Somewhat artificial
2,2waycladding,56,5,Natural
2,2waycladding,38,3,Natural
2,2waycladding,37,4,Natural
1,2waycladding,40,3.2,Somewhat natural
2,2waycladding,57,1,Natural
1,2waycladding,48,3.4,Somewhat natural
1,2waycladding,62,4.4,Somewhat natural
2,2waycladding,52,2.6,Natural
1,2waycladding,40,4.8,Somewhat natural
0,2waycladding,53,4.25,Neutral
2,2waycladding,29,4.2,Natural
2,2waycladding,56,4.25,Natural
0,2waycladding,25,4.75,Neutral
2,2waycladding,40,5,Natural
2,2waycladding,49,4.6,Natural
1,2waycladding,56,5,Somewhat natural
2,2waycladding,59,4.2,Natural
0,2waycladding,25,5,Neutral
2,2waycladding,66,3,Natural
0,2waycladding,44,4.4,Neutral
2,2waycladding,39,4.6,Natural
0,2waycladding,60,4.8,Neutral
0,2waycladding,53,4.2,Neutral
2,2waycladding,72,3.8,Natural
2,2waycladding,57,4.8,Natural
2,2waycladding,31,4.2,Natural
2,2waycladding,44,4.2,Natural
2,2waycladding,59,3.8,Natural
1,2waycladding,59,3.75,Somewhat natural
-1,2waycladding,36,2.2,Somewhat artificial
0,2waycladding,53,4.8,Neutral
2,2waycladding,50,3.2,Natural
0,2waycladding,38,3.75,Neutral
2,2waycladding,64,4.2,Natural
0,2waycladding,50,4,Neutral
1,2waycladding,36,4.6,Somewhat natural
2,2waycladding,60,3.4,Natural
2,2waycladding,61,3.8,Natural
1,2waycladding,51,5,Somewhat natural
2,2waycladding,47,4.6,Natural
1,2waycladding,57,3.6,Somewhat natural
0,2waycladding,65,3.2,Neutral
1,2waycladding,73,2.6666666666666665,Somewhat natural
2,2waycladding,80,4.4,Natural
1,2waycladding,56,4,Somewhat natural
1,2waycladding,61,3.8,Somewhat natural
1,2waycladding,63,4.6,Somewhat natural
1,2waycladding,46,4,Somewhat natural
2,2waycladding,66,4.2,Natural
-1,2waycladding,50,3.8,Somewhat artificial
0,2waycladding,41,2.8,Neutral
2,2waycladding,48,3.2,Natural
2,2waycladding,43,3.4,Natural
0,2waycladding,63,3.6,Neutral
1,2waycladding,53,4.2,Somewhat natural
1,2waycladding,44,3,Somewhat natural
1,2waycladding,39,4,Somewhat natural
-1,2waycladding,50,4.2,Somewhat artificial
1,2waycladding,53,4,Somewhat natural
-1,2waycladding,44,3.2,Somewhat artificial
1,2waycladding,62,4.4,Somewhat natural
2,2waycladding,54,4.4,Natural
1,2waycladding,52,3.2,Somewhat natural
0,2waycladding,65,3.8,Neutral
2,2waycladding,38,4,Natural
2,2waycladding,66,3.8,Natural
1,2waycladding,83,4.4,Somewhat natural
0,2waycladding,57,3.6,Neutral
1,2waycladding,28,2.25,Somewhat natural
0,2waycladding,52,3.8,Neutral
1,2waycladding,45,4,Somewhat natural
1,2waycladding,52,4.75,Somewhat natural
0,2waycladding,38,2.25,Neutral
1,2waycladding,34,3.4,Somewhat natural
2,2waycladding,68,4.2,Natural
1,2waycladding,25,4.2,Somewhat natural
2,2waycladding,25,3.3333333333333335,Natural
0,2waycladding,30,4.2,Neutral
2,2waycladding,39,3.2,Natural
0,2waycladding,46,4.4,Neutral
2,2waycladding,64,4.4,Natural
2,2waycladding,52,4.2,Natural
2,2waycladding,40,5,Natural
0,2waycladding,50,3.4,Neutral
-1,2waycladding,27,4,Somewhat artificial
0,2waycladding,75,4.2,Neutral
1,2waycladding,58,3.2,Somewhat natural
-2,2waycladding,61,4.6,Artificial
1,2waycladding,23,4.4,Somewhat natural
0,2waycladding,25,3.4,Neutral
-1,2waycladding,34,3.5,Somewhat artificial
0,2waycladding,26,4,Neutral
1,2waycladding,48,1.6,Somewhat natural
2,2waycladding,61,4.8,Natural
0,2waycladding,41,4,Neutral
2,2waycladding,48,4.6,Natural
0,2waycladding,35,2.25,Neutral
1,2waycladding,24,3.25,Somewhat natural
2,2waycladding,62,3,Natural
0,2waycladding,22,3.2,Neutral
-1,2waycladding,30,4,Somewhat artificial
0,2waycladding,29,4,Neutral
0,2waycladding,33,4.4,Neutral
1,2waycladding,41,4.6,Somewhat natural
2,2waycladding,63,2.2,Natural
0,2waycladding,51,4,Neutral
2,2waycladding,53,3.2,Natural
-1,2waycladding,25,3.4,Somewhat artificial
-1,2waycladding,27,3.8,Somewhat artificial
2,2waycladding,26,3,Natural
-1,2waycladding,93,4.8,Somewhat artificial
-1,2waycladding,25,4,Somewhat artificial
-1,2waycladding,26,2.8,Somewhat artificial
-1,2waycladding,62,2.6,Somewhat artificial
1,2waycladding,22,2.75,Somewhat natural
0,2waycladding,25,3.8,Neutral
-1,2waycladding,25,3.6,Somewhat artificial
0,2waycladding,27,3.8,Neutral
0,2waycladding,25,4.5,Neutral
1,2waycladding,57,3.6,Somewhat natural
1,2waycladding,23,3.5,Somewhat natural
1,2waycladding,25,3.8,Somewhat natural
0,2waycladding,60,4.25,Neutral
0,2waycladding,28,4.4,Neutral
1,2waycladding,36,4.6,Somewhat natural
-1,2waycladding,28,2.6,Somewhat artificial
2,2waycladding,25,4.25,Natural
1,2waycladding,48,3.8,Somewhat natural
2,2waycladding,32,2.75,Natural
2,2waycladding,25,3.8,Natural
-1,2waycladding,42,4.2,Somewhat artificial
1,2waycladding,46,3.6,Somewhat natural
2,2waycladding,32,4.8,Natural
0,2waycladding,23,4.6,Neutral
1,2waycladding,24,4.8,Somewhat natural
1,2waycladding,1,4.2,Somewhat natural
1,2waycladding,28,4,Somewhat natural
-1,2waycladding,32,3.6,Somewhat artificial
1,2waycladding,21,4.2,Somewhat natural
1,2waycladding,32,4.2,Somewhat natural
0,2waycladding,28,3.8,Neutral
1,2waycladding,19,3,Somewhat natural
-1,2waycladding,58,3.5,Somewhat artificial
0,2waycladding,42,3.75,Neutral
1,2waycladding,53,4,Somewhat natural
1,2waycladding,19,4,Somewhat natural
0,2waycladding,19,3.2,Neutral
0,2waycladding,19,4,Neutral
-2,2waycladding,19,3.8,Artificial
2,2waycladding,26,4.8,Natural
0,2waycladding,19,3.4,Neutral
2,2waycladding,55,3.75,Natural
1,2waycladding,49,3.2,Somewhat natural
2,2waycladding,25,4.8,Natural
1,2waycladding,63,4.2,Somewhat natural
0,2waycladding,19,3.8,Neutral
2,2waycladding,26,3.6,Natural
1,2waycladding,55,5,Somewhat natural
0,2waycladding,19,4.2,Neutral
-1,2waycladding,69,3.6,Somewhat artificial
2,2waycladding,27,3.8,Natural
-2,2waycladding,33,4.2,Artificial
2,2waycladding,30,4,Natural
2,2waycladding,30,4.5,Natural
-2,2waycladding,32,3.4,Artificial
0,2waycladding,31,4.2,Neutral
-2,2waycladding,60,3.6,Artificial
1,2waycladding,32,3.4,Somewhat natural
-1,2waycladding,31,3,Somewhat artificial
-1,2waycladding,32,2.75,Somewhat artificial
2,2waycladding,62,4,Natural
-1,2waycladding,32,2.8,Somewhat artificial
2,2waycladding,31,4.8,Natural
1,2waycladding,42,4.25,Somewhat natural
-1,2waycladding,32,3,Somewhat artificial
1,2waycladding,32,2.25,Somewhat natural
-2,2waycladding,30,2.8,Artificial
1,2waycladding,43,4.2,Somewhat natural
2,2waycladding,41,4.6,Natural
1,2waycladding,36,4.2,Somewhat natural
0,2waycladding,42,3.4,Neutral
0,2waycladding,32,4.25,Neutral
1,2waycladding,55,4,Somewhat natural
2,2waycladding,30,3.4,Natural
-1,2waycladding,25,3.8,Somewhat artificial
2,2waycladding,52,3,Natural
1,2waycladding,49,3.6,Somewhat natural
2,2waycladding,43,4.4,Natural
2,2waycladding,48,4.6,Natural
0,2waycladding,25,4.5,Neutral
1,2waycladding,53,4.4,Somewhat natural
0,2waycladding,40,4.6,Neutral
1,2waycladding,30,4.2,Somewhat natural
0,2waycladding,38,4,Neutral
2,2waycladding,44,4.25,Natural
0,2waycladding,41,4.2,Neutral
0,2waycladding,59,3.8,Neutral
0,2waycladding,31,3.8,Neutral
2,2waycladding,59,3.8,Natural
0,2waycladding,44,4.2,Neutral
1,2waycladding,43,4.25,Somewhat natural
1,2waycladding,56,3.6,Somewhat natural
2,2waycladding,36,2.6,Natural
-2,2waycladding,25,1.6666666666666667,Artificial
0,2waycladding,37,2.2,Neutral
2,2waycladding,30,4.4,Natural
1,2waycladding,30,4.5,Somewhat natural
1,2waycladding,58,3.6,Somewhat natural
-1,2waycladding,59,3.4,Somewhat artificial
-1,2waycladding,34,4.4,Somewhat artificial
0,2waycladding,32,4,Neutral
-2,2waycladding,20,3.6,Artificial
2,2waycladding,19,3.4,Natural
0,2waycladding,19,3.6,Neutral
-2,2waycladding,34,3.75,Artificial
2,2waycladding,40,4.8,Natural
-2,2waycladding,46,3.6,Artificial
1,2waycladding,48,3.25,Somewhat natural
1,2waycladding,58,3.2,Somewhat natural
-1,2waycladding,33,4,Somewhat artificial
0,2waycladding,99,3,Neutral
1,2waycladding,52,4.6,Somewhat natural
-1,2waycladding,31,3.25,Somewhat artificial
-1,2waycladding,36,3.2,Somewhat artificial
2,2waycladding,44,4.4,Natural
2,2waycladding,60,4.4,Natural
2,2waycladding,36,3.2,Natural
2,2waycladding,66,4.4,Natural
2,2waycladding,59,5,Natural
0,2waycladding,40,3.6,Neutral
2,2waycladding,44,3.8,Natural
0,2waycladding,40,3.8,Neutral
0,2waycladding,45,3.4,Neutral
0,2waycladding,48,4.2,Neutral
1,2waycladding,54,2.6,Somewhat natural
2,2waycladding,53,3.8,Natural
2,2waycladding,51,4,Natural
1,2waycladding,60,4.8,Somewhat natural
0,2waycladding,33,2,Neutral
0,2waycladding,52,1.8,Neutral
-1,2waycladding,62,3,Somewhat artificial
0,2waycladding,35,2.6,Neutral
-1,2waycladding,51,4.8,Somewhat artificial
-2,2waycladding,50,3.6,Artificial
1,2waycladding,47,4.8,Somewhat natural
1,2waycladding,24,4.6,Somewhat natural
-1,brownverticals,65,4.4,Somewhat artificial
0,brownverticals,50,3.25,Neutral
0,brownverticals,43,4.8,Neutral
2,brownverticals,51,4,Natural
2,brownverticals,66,5,Natural
0,brownverticals,41,2.8,Neutral
2,brownverticals,37,4,Natural
1,brownverticals,58,1.4,Somewhat natural
0,brownverticals,60,3.2,Neutral
-1,brownverticals,32,4.6,Somewhat artificial
0,brownverticals,50,2.5,Neutral
0,brownverticals,58,4,Neutral
1,brownverticals,59,3.4,Somewhat natural
