country_name,country_text_id,year,region,polyarchy,corruption,civil_liberties,prop_fem,quota
Mexico,MEX,2020,2,66.3,0.598,0.698,0.48200000000000004,TRUE
Suriname,SUR,2020,2,76,0.212,0.868,0.29410000000000003,FALSE
Sweden,SWE,2020,5,90.2,0.008,0.963,0.46990000000000004,FALSE
Switzerland,CHE,2020,5,90.2,0.022,0.953,0.42,FALSE
Ghana,GHA,2020,4,71.89999999999999,0.631,0.915,0.14550000000000002,FALSE
South Africa,ZAF,2020,4,72.3,0.404,0.829,0.4637,FALSE
Japan,JPN,2020,6,83.6,0.091,0.912,0.0989,FALSE
Burma/Myanmar,MMR,2020,6,42.699999999999996,0.383,0.494,0.16829999999999998,FALSE
Russia,RUS,2020,1,25.6,0.721,0.419,0.1578,FALSE
Albania,ALB,2020,1,52.6,0.689,0.886,0.29510000000000003,TRUE
Egypt,EGY,2020,3,17.5,0.737,0.209,0.2741,TRUE
Yemen,YEM,2020,3,11.4,0.92,0.128,0.0033,FALSE
Colombia,COL,2020,2,64.5,0.398,0.692,0.1882,TRUE
Poland,POL,2020,1,61.4,0.123,0.832,0.287,TRUE
Brazil,BRA,2020,2,69.89999999999999,0.536,0.683,0.1462,TRUE
United States of America,USA,2020,5,80.7,0.088,0.913,0.2725,FALSE
Portugal,PRT,2020,5,88.4,0.122,0.93,0.4,TRUE
El Salvador,SLV,2020,2,52.2,0.668,0.664,0.3333,TRUE
Bangladesh,BGD,2020,6,25.8,0.896,0.399,0.2086,TRUE
Bolivia,BOL,2020,2,33.1,0.652,0.716,0.5307999999999999,TRUE
Haiti,HTI,2020,2,37.1,0.848,0.638,0.0254,TRUE
Honduras,HND,2020,2,37.2,0.828,0.791,0.2109,TRUE
Mali,MLI,2020,4,43.1,0.809,0.76,0.2727,TRUE
Pakistan,PAK,2020,6,37.6,0.903,0.487,0.2018,TRUE
Peru,PER,2020,2,81.89999999999999,0.529,0.879,0.2615,TRUE
Senegal,SEN,2020,4,74.2,0.347,0.873,0.4303,TRUE
South Sudan,SSD,2020,4,16.900000000000002,0.93,0.179,0.2846,FALSE
Vietnam,VNM,2020,6,21.099999999999998,0.488,0.407,0.2672,FALSE
Afghanistan,AFG,2020,6,33.5,0.874,0.506,0.2702,TRUE
Argentina,ARG,2020,2,80.5,0.48,0.886,0.4241,TRUE
Ethiopia,ETH,2020,4,32.1,0.565,0.538,0.3876,FALSE
India,IND,2020,6,39.4,0.661,0.549,0.1444,FALSE
Kenya,KEN,2020,4,49.8,0.612,0.682,0.2161,TRUE
North Korea,PRK,2020,6,8.4,0.663,0.024,0.1761,FALSE
South Korea,KOR,2020,6,85.8,0.114,0.925,0.19,TRUE
Lebanon,LBN,2020,3,44,0.767,0.707,0.046900000000000004,FALSE
Nigeria,NGA,2020,4,51.300000000000004,0.935,0.651,0.0361,FALSE
Philippines,PHL,2020,6,42.5,0.779,0.515,0.2796,FALSE
Tanzania,TZA,2020,4,38.6,0.295,0.651,0.36719999999999997,TRUE
Thailand,THA,2020,6,19.8,0.705,0.382,0.1575,FALSE
Uganda,UGA,2020,4,30,0.768,0.453,0.3486,TRUE
Venezuela,VEN,2020,2,20.599999999999998,0.962,0.329,0.2216,TRUE
Benin,BEN,2020,4,41.099999999999994,0.183,0.816,0.0843,TRUE
Bhutan,BTN,2020,6,60,0.108,0.764,0.1489,FALSE
Burkina Faso,BFA,2020,4,66.3,0.453,0.821,0.063,TRUE
Cambodia,KHM,2020,6,19.2,0.895,0.353,0.21600000000000003,FALSE
Indonesia,IDN,2020,6,57.4,0.765,0.702,0.2104,TRUE
Mozambique,MOZ,2020,4,36.9,0.548,0.616,0.424,FALSE
Nepal,NPL,2020,6,59.8,0.667,0.765,0.3273,TRUE
Nicaragua,NIC,2020,2,21.9,0.938,0.229,0.48350000000000004,TRUE
Niger,NER,2020,4,54.900000000000006,0.57,0.774,0.259,TRUE
Zambia,ZMB,2020,4,35.4,0.44,0.715,0.1677,FALSE
Zimbabwe,ZWE,2020,4,29.4,0.795,0.416,0.3185,TRUE
Guinea,GIN,2020,4,29.5,0.853,0.351,0.16670000000000001,TRUE
Ivory Coast,CIV,2020,4,49.9,0.598,0.714,0.1137,FALSE
Mauritania,MRT,2020,4,39.2,0.841,0.631,0.2026,TRUE
Canada,CAN,2020,5,84.89999999999999,0.029,0.931,0.2959,FALSE
