accept.mu,screed.alpha,speed,shoes
4.273333333333333,A,100,bare
6.266666666666667,A,80,bare
8.01,A,100,shoe
5.766666666666667,A,80,shoe
4.966666666666667,C,100,bare
7.74,C,80,bare
5.293333333333333,C,100,shoe
5.926666666666666,C,80,shoe
4.693333333333333,H,100,bare
5.123333333333333,H,80,bare
8.813333333333333,H,100,shoe
7.123333333333333,H,80,shoe
4.003333333333334,I,100,bare
4.85,I,80,bare
5.8,I,100,shoe
6.556666666666667,I,80,shoe
9.856666666666666,A,100,bare
9.802518102195062,A,80,bare
9.802518102195062,A,100,shoe
9.802518102195062,A,80,shoe
9.563333333333333,C,100,bare
9.802518102195062,C,80,bare
9.802518102195062,C,100,shoe
8.773333333333333,C,80,shoe
9.636666666666668,H,100,bare
9.933333333333334,H,80,bare
9.31,H,100,shoe
9.802518102195062,H,80,shoe
9.076666666666666,I,100,bare
9.666666666666666,I,80,bare
9.883333333333333,I,100,shoe
9.643333333333333,I,80,shoe
9.02,A,100,bare
9.913333333333334,A,80,bare
9.802518102195062,A,100,shoe
9.802518102195062,A,80,shoe
8.973333333333333,C,100,bare
9.736666666666666,C,80,bare
9.36,C,100,shoe
8.663333333333334,C,80,shoe
8.49,H,100,bare
9.07,H,80,bare
9.696666666666667,H,100,shoe
9.486666666666666,H,80,shoe
6.736666666666666,I,100,bare
7.733333333333333,I,80,bare
9.203333333333331,I,100,shoe
8.716666666666667,I,80,shoe
8.05,A,100,bare
8.876666666666667,A,80,bare
8.576666666666666,A,100,shoe
8.553333333333335,A,80,shoe
7.86,C,100,bare
8.693333333333333,C,80,bare
9.3966666666666665,C,100,shoe
7.8,C,80,shoe
7.9,H,100,bare
8.096666666666668,H,80,bare
8.126666666666667,H,100,shoe
9.05,H,80,shoe
4.133333333333333,I,100,bare
7.52,I,80,bare
7.773333333333333,I,100,shoe
8.246666666666666,I,80,shoe
4.903333333333333,A,100,bare
7.783333333333333,A,80,bare
8.6033333333333335,A,100,shoe
9.206666666666669,A,80,shoe
6.87,C,100,bare
6.1066666666666665,C,80,bare
7.973333333333333,C,100,shoe
6.836666666666667,C,80,shoe
4.15,H,100,bare
5.39,H,80,bare
9.773333333333332,H,100,shoe
8.93,H,80,shoe
1.5,I,100,bare
4.486666666666666,I,80,bare
8.123333333333333,I,100,shoe
9.746666666666666,I,80,shoe
7.203333333333333,A,100,bare
5.95,A,80,bare
7.16,A,100,shoe
7.83,A,80,shoe
5.93,C,100,bare
6.083333333333333,C,80,bare
6.3566666666666665,C,100,shoe
4.386666666666667,C,80,shoe
5.9,H,100,bare
6.486666666666666,H,80,bare
6.316666666666666,H,100,shoe
6.33,H,80,shoe
4.786666666666666,I,100,bare
6.5200000000000005,I,80,bare
6.65,I,100,shoe
6.233333333333333,I,80,shoe
9.366666666666667,A,100,bare
9.802518102195062,A,80,bare
9.802518102195062,A,100,shoe
9.802518102195062,A,80,shoe
9.802518102195062,C,100,bare
9.802518102195062,C,80,bare
9.802518102195062,C,100,shoe
9.802518102195062,C,80,shoe
9.802518102195062,H,100,bare
9.802518102195062,H,80,bare
9.723333333333333,H,100,shoe
9.802518102195062,H,80,shoe
9.216666666666669,I,100,bare
9.802518102195062,I,80,bare
9.802518102195062,I,100,shoe
9.802518102195062,I,80,shoe
2.693333333333334,A,100,bare
6.7700000000000005,A,80,bare
6.71,A,100,shoe
6.793333333333334,A,80,shoe
5.0633333333333335,C,100,bare
4.72,C,80,bare
4.46,C,100,shoe
5.85,C,80,shoe
2.79,H,100,bare
3.873333333333333,H,80,bare
5.386666666666667,H,100,shoe
3.8733333333333335,H,80,shoe
1.336666666666667,I,100,bare
3.0033333333333334,I,80,bare
4.6466666666666665,I,100,shoe
4.766666666666667,I,80,shoe
8.283333333333333,A,100,bare
8.756666666666666,A,80,bare
8.686666666666667,A,100,shoe
9.186666666666667,A,80,shoe
8.66,C,100,bare
8.303333333333333,C,80,bare
8.65,C,100,shoe
8.91,C,80,shoe
8.363333333333333,H,100,bare
8.313333333333333,H,80,bare
