Filename,50B_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.295,0.0165463,218716,0.0447847,1.32052e9,5.91390e7,1.32184e9
6.28319,16.3065,33.272,0.0165543,218117,0.0454203,1.31623e9,5.97836e7,1.31759e9
6.28319,24.5918,35.819,0.0165780,216750,0.0456687,1.30610e9,5.96476e7,1.30746e9
6.28319,32.8753,38.497,0.0166142,214574,0.0469997,1.29009e9,6.06337e7,1.29151e9
6.28319,41.1605,41.228,0.0166549,212175,0.0488207,1.27243e9,6.21211e7,1.27395e9
6.28319,49.4438,44.059,0.0167090,209071,0.0510748,1.24962e9,6.38240e7,1.25125e9
6.28319,57.7292,46.960,0.0167677,205674,0.0536253,1.22485e9,6.56830e7,1.22661e9
6.28319,66.0125,49.808,0.0168359,201808,0.0577711,1.19668e9,6.91334e7,1.19867e9
6.28319,74.2978,52.608,0.0169028,197604,0.0579098,1.16710e9,6.75868e7,1.16906e9
6.28319,82.5812,55.411,0.0169818,193180,0.0644427,1.13522e9,7.31563e7,1.13757e9
6.28319,90.8667,58.165,0.0170640,188343,0.0670332,1.10127e9,7.38218e7,1.10374e9
6.28319,99.1498,60.930,0.0171482,183315,0.0724468,1.06621e9,7.72433e7,1.06900e9
6.28319,107.435,63.759,0.0172446,177730,0.0774943,1.02756e9,7.96301e7,1.03064e9
6.28319,115.718,66.538,0.0173333,172277,0.0815777,9.90620e8,8.08125e7,9.93911e8
6.28319,124.004,69.314,0.0174313,166363,0.0866249,9.50827e8,8.23653e7,9.54388e8
6.28319,132.287,72.087,0.0175227,160781,0.0906500,9.13809e8,8.28368e7,9.17556e8
6.28319,145.888,76.669,0.0176670,151649,0.0965529,8.54403e8,8.24951e7,8.58377e8
6.28319,154.159,79.464,0.0177519,146331,0.101966,8.20059e8,8.36181e7,8.24311e8
6.28319,162.445,82.227,0.0178308,141376,0.104810,7.88558e8,8.26487e7,7.92877e8
6.28319,170.728,85.026,0.0179057,136599,0.108098,7.58464e8,8.19885e7,7.62882e8
6.28319,179.013,87.815,0.0179807,131733,0.112747,7.28020e8,8.20822e7,7.32633e8
6.28319,187.297,90.579,0.0180524,127000,0.113682,6.99004e8,7.94641e7,7.03507e8
6.28319,195.582,93.365,0.0181226,122522,0.118706,6.71361e8,7.96944e7,6.76075e8
6.28319,203.866,96.127,0.0181935,117733,0.119658,6.42534e8,7.68844e7,6.47118e8
6.28319,212.151,98.936,0.0182638,113310,0.125533,6.15580e8,7.72757e7,6.20411e8
6.28319,220.434,101.709,0.0183314,108813,0.128697,5.88736e8,7.57683e7,5.93591e8
6.28319,228.720,104.496,0.0183888,104681,0.129575,5.64545e8,7.31507e7,5.69265e8
6.28319,237.003,107.270,0.0184597,100189,0.134730,5.37886e8,7.24692e7,5.42746e8
6.28319,245.288,110.044,0.0185144,96262.0,0.133935,5.15330e8,6.90205e7,5.19931e8
6.28319,253.572,112.790,0.0185703,92447.2,0.139443,4.93052e8,6.87527e7,4.97822e8
6.28319,261.857,115.563,0.0186251,88806.9,0.141301,4.72124e8,6.67117e7,4.76814e8
6.28319,270.140,118.378,0.0186751,85285.8,0.143964,4.52023e8,6.50751e7,4.56683e8
6.28319,278.425,121.123,0.0187240,81815.4,0.145897,4.32378e8,6.30828e7,4.36956e8
6.28319,286.709,123.834,0.0187700,78655.4,0.147872,4.14540e8,6.12987e7,4.19048e8
6.28319,294.994,126.531,0.0188163,75442.5,0.151520,3.96418e8,6.00654e7,4.00943e8
6.28319,304.848,129.841,0.0188667,71643.3,0.153787,3.75323e8,5.77198e7,3.79735e8
6.28319,313.092,130.175,0.0188944,69483.4,0.153292,3.63499e8,5.57216e7,3.67745e8
6.28319,321.376,130.279,0.0189121,68027.1,0.150192,3.55712e8,5.34249e7,3.59702e8

