Filename,50B_5_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,11.8935,31.793,0.0163127,218699,0.0389912,1.33965e9,5.22345e7,1.34067e9
6.28319,20.8942,34.691,0.0163297,217567,0.0377912,1.33138e9,5.03146e7,1.33233e9
6.28319,29.1377,37.275,0.0163563,216211,0.0389767,1.32088e9,5.14836e7,1.32188e9
6.28319,37.4210,39.993,0.0163871,214638,0.0406342,1.30872e9,5.31789e7,1.30980e9
6.28319,45.7063,42.886,0.0164284,212409,0.0429272,1.29174e9,5.54510e7,1.29293e9
6.28319,53.9898,45.730,0.0164803,209607,0.0449928,1.27058e9,5.71671e7,1.27187e9
6.28319,69.3708,50.986,0.0165880,203809,0.0497763,1.22714e9,6.10823e7,1.22866e9
6.28319,77.6478,53.759,0.0166637,199821,0.0552492,1.19731e9,6.61506e7,1.19914e9
6.28319,85.9313,56.532,0.0167454,195264,0.0576479,1.16415e9,6.71106e7,1.16608e9
6.28319,94.2165,59.365,0.0168270,190909,0.0617945,1.13238e9,6.99751e7,1.13454e9
6.28319,102.500,62.133,0.0169197,185714,0.0666727,1.09518e9,7.30188e7,1.09761e9
6.28319,110.785,64.913,0.0170173,180140,0.0695224,1.05602e9,7.34170e7,1.05857e9
6.28319,125.370,69.826,0.0171774,170602,0.0748959,9.90400e8,7.41769e7,9.93173e8
6.28319,137.368,73.858,0.0173225,162546,0.0837207,9.35077e8,7.82853e7,9.38348e8
6.28319,145.632,76.617,0.0174119,157185,0.0869036,8.99356e8,7.81573e7,9.02746e8
6.28319,153.918,79.396,0.0175056,151906,0.0913782,8.64152e8,7.89646e7,8.67752e8
6.28319,162.201,82.213,0.0175926,146854,0.0949900,8.31004e8,7.89370e7,8.34744e8
6.28319,170.486,84.961,0.0176749,141979,0.0997781,7.99310e8,7.97536e7,8.03279e8
6.28319,178.770,87.724,0.0177524,137226,0.100919,7.69091e8,7.76159e7,7.72998e8
6.28319,187.055,90.477,0.0178306,132613,0.105912,7.39601e8,7.83325e7,7.43737e8
6.28319,195.340,93.309,0.0178993,128541,0.107441,7.14024e8,7.67152e7,7.18134e8
6.28319,203.624,96.096,0.0179634,124463,0.109915,6.88723e8,7.57008e7,6.92871e8
6.28319,211.909,98.860,0.0180279,120532,0.112462,6.64399e8,7.47194e7,6.68587e8
6.28319,220.192,101.632,0.0180922,116754,0.116886,6.40963e8,7.49194e7,6.45327e8
6.28319,228.478,104.400,0.0181463,113266,0.118459,6.19849e8,7.34265e7,6.24183e8
6.28319,236.761,107.156,0.0182022,109959,0.120930,5.99726e8,7.25250e7,6.04096e8
6.28319,245.046,109.942,0.0182517,106655,0.122206,5.80044e8,7.08849e7,5.84359e8
6.28319,253.330,112.717,0.0183044,103513,0.126451,5.61039e8,7.09441e7,5.65507e8
6.28319,261.615,115.443,0.0183502,100625,0.127281,5.43972e8,6.92371e7,5.48361e8
6.28319,269.898,118.224,0.0184013,97283.6,0.129406,5.24306e8,6.78482e7,5.28677e8
6.28319,278.184,120.968,0.0184499,94188.5,0.131921,5.06125e8,6.67685e7,5.10510e8
6.28319,286.467,123.786,0.0184990,91052.2,0.135376,4.87751e8,6.60298e7,4.92200e8
6.28319,294.753,126.520,0.0185518,87795.1,0.136715,4.68882e8,6.41030e7,4.73244e8
6.28319,303.036,129.284,0.0186049,84497.2,0.142511,4.49624e8,6.40762e7,4.54167e8
6.28319,311.321,130.105,0.0186507,81213.9,0.137592,4.31382e8,5.93546e7,4.35446e8
6.28319,319.605,130.225,0.0186755,79524.1,0.138632,4.21786e8,5.84732e7,4.25820e8

