Filename,50D_4_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,30.973,0.0158456,234702,0.0449176,1.47969e9,6.64640e7,1.48118e9
6.28319,16.3065,33.287,0.0158542,234146,0.0453951,1.47536e9,6.69739e7,1.47687e9
6.28319,24.5920,35.764,0.0158767,232928,0.0452046,1.46561e9,6.62523e7,1.46711e9
6.28319,32.8752,38.457,0.0159133,231199,0.0466593,1.45128e9,6.77158e7,1.45286e9
6.28319,41.1605,41.263,0.0159493,229251,0.0475603,1.43575e9,6.82845e7,1.43737e9
6.28319,49.4440,44.124,0.0160065,226366,0.0491863,1.41251e9,6.94761e7,1.41422e9
6.28319,57.7292,46.976,0.0160711,223181,0.0514891,1.38688e9,7.14091e7,1.38872e9
6.28319,66.0125,49.808,0.0161404,219389,0.0536929,1.35730e9,7.28775e7,1.35926e9
6.28319,74.2978,52.661,0.0162247,215112,0.0568626,1.32369e9,7.52687e7,1.32583e9
6.28319,82.5812,55.443,0.0163168,210431,0.0616422,1.28722e9,7.93470e7,1.28966e9
6.28319,90.8665,58.225,0.0164214,205120,0.0652972,1.24645e9,8.13896e7,1.24910e9
6.28319,99.1498,60.997,0.0165257,199608,0.0697662,1.20494e9,8.40638e7,1.20786e9
6.28319,107.435,63.784,0.0166418,193495,0.0739885,1.15953e9,8.57922e7,1.16270e9
6.28319,115.719,66.552,0.0167533,187649,0.0794203,1.11656e9,8.86774e7,1.12007e9
6.28319,124.004,69.347,0.0168642,181592,0.0832006,1.07308e9,8.92808e7,1.07679e9
6.28319,132.287,72.171,0.0169841,175368,0.0876070,1.02861e9,9.01131e7,1.03255e9
6.28319,140.573,74.932,0.0170988,168988,0.0934421,9.84015e8,9.19485e7,9.88302e8
6.28319,148.856,77.702,0.0172149,162624,0.0962582,9.40323e8,9.05138e7,9.44670e8
6.28319,157.141,80.468,0.0173249,156522,0.101873,8.98801e8,9.15632e7,9.03452e8
6.28319,165.424,83.295,0.0174321,150440,0.104687,8.58318e8,8.98551e7,8.63009e8
6.28319,173.710,86.074,0.0175301,144984,0.108453,8.22238e8,8.91739e7,8.27059e8
6.28319,182.872,89.141,0.0176225,139342,0.111133,7.85866e8,8.73358e7,7.90705e8
6.28319,191.144,91.892,0.0177033,134641,0.115297,7.55535e8,8.71109e7,7.60541e8
6.28319,203.856,96.142,0.0178244,127752,0.119241,7.11683e8,8.48621e7,7.16725e8
6.28319,212.099,98.902,0.0178890,123754,0.121286,6.86757e8,8.32938e7,6.91790e8
6.28319,220.384,101.687,0.0179595,119709,0.122433,6.61614e8,8.10033e7,6.66554e8
6.28319,228.668,104.469,0.0180210,116127,0.125923,6.39348e8,8.05088e7,6.44397e8
6.28319,236.953,107.239,0.0180811,112578,0.128027,6.17588e8,7.90683e7,6.22629e8
6.28319,245.236,109.997,0.0181381,109082,0.130047,5.96375e8,7.75566e7,6.01397e8
6.28319,253.521,112.773,0.0181913,105991,0.131961,5.77642e8,7.62265e7,5.82650e8
6.28319,261.805,115.509,0.0182488,102629,0.134121,5.57398e8,7.47590e7,5.62389e8
6.28319,270.090,118.343,0.0183018,99435.7,0.137322,5.38261e8,7.39148e7,5.43312e8
6.28319,278.373,121.093,0.0183541,96393.7,0.139781,5.20132e8,7.27048e7,5.25189e8
6.28319,286.659,123.833,0.0184034,93390.9,0.143091,5.02349e8,7.18815e7,5.07465e8
6.28319,294.942,126.575,0.0184542,90384.9,0.144799,4.84723e8,7.01877e7,4.89779e8
6.28319,303.227,129.333,0.0185024,87535.8,0.149082,4.67935e8,6.97604e7,4.73106e8
6.28319,311.511,130.098,0.0185434,84820.4,0.148633,4.52445e8,6.72481e7,4.57416e8
6.28319,319.796,130.261,0.0185594,83622.5,0.146294,4.45821e8,6.52211e7,4.50567e8

