Filename,50E_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.343,0.0172820,195229,0.0465430,1.12844e9,5.25212e7,1.12967e9
6.28319,16.3085,33.319,0.0172878,194722,0.0470579,1.12511e9,5.29453e7,1.12635e9
6.28319,24.5920,35.864,0.0173010,193773,0.0468124,1.11878e9,5.23728e7,1.12001e9
6.28319,32.8775,38.526,0.0173242,192254,0.0479897,1.10847e9,5.31949e7,1.10974e9
6.28319,41.1607,41.327,0.0173533,190249,0.0499986,1.09496e9,5.47464e7,1.09633e9
6.28319,49.4460,44.146,0.0173900,187885,0.0520357,1.07896e9,5.61444e7,1.08042e9
6.28319,57.7293,46.971,0.0174295,185295,0.0547858,1.06152e9,5.81562e7,1.06311e9
6.28319,66.3613,49.909,0.0174770,182122,0.0579361,1.04032e9,6.02720e7,1.04206e9
6.28319,74.6060,52.726,0.0175315,178436,0.0624272,1.01582e9,6.34149e7,1.01780e9
6.28319,82.8893,55.568,0.0175927,174406,0.0654356,9.89238e8,6.47314e7,9.91354e8
6.28319,98.3465,60.691,0.0177078,166133,0.0736120,9.35659e8,6.88757e7,9.38190e8
6.28319,106.597,63.475,0.0177777,161270,0.0782789,9.04385e8,7.07943e7,9.07152e8
6.28319,114.883,66.240,0.0178523,156131,0.0819793,8.71648e8,7.14571e7,8.74572e8
6.28319,123.166,69.073,0.0179274,151028,0.0891994,8.39113e8,7.48484e7,8.42445e8
6.28319,134.334,72.809,0.0180230,143903,0.0934386,7.94981e8,7.42819e7,7.98444e8
6.28319,143.320,75.825,0.0181021,138403,0.0982275,7.60907e8,7.47420e7,7.64569e8
6.28319,151.590,78.632,0.0181682,133428,0.102167,7.30598e8,7.46433e7,7.34401e8
6.28319,159.873,81.369,0.0182325,128824,0.105007,7.02701e8,7.37882e7,7.06564e8
6.28319,168.159,84.177,0.0182942,124309,0.109537,6.75459e8,7.39876e7,6.79499e8
6.28319,176.442,86.978,0.0183564,119781,0.113874,6.48342e8,7.38291e7,6.52532e8
6.28319,184.727,89.755,0.0184081,115956,0.116719,6.25668e8,7.30276e7,6.29916e8
6.28319,193.011,92.534,0.0184603,111868,0.119021,6.01744e8,7.16199e7,6.05991e8
6.28319,201.296,95.300,0.0185130,108143,0.123688,5.79729e8,7.17056e7,5.84146e8
6.28319,209.579,98.031,0.0185630,104216,0.125330,5.57060e8,6.98165e7,5.61418e8
6.28319,217.865,100.846,0.0186132,100701,0.129612,5.36530e8,6.95406e7,5.41018e8
6.28319,226.148,103.593,0.0186562,97152.2,0.132180,5.16259e8,6.82390e7,5.20749e8
6.28319,234.433,106.382,0.0187027,93627.9,0.134758,4.96127e8,6.68571e7,5.00611e8
6.28319,243.352,109.324,0.0187507,89886.1,0.137715,4.74893e8,6.54000e7,4.79375e8
6.28319,251.614,112.090,0.0187916,86694.9,0.141758,4.56783e8,6.47528e7,4.61350e8
6.28319,259.900,114.857,0.0188307,83643.1,0.142612,4.39735e8,6.27117e7,4.44185e8
6.28319,268.183,117.621,0.0188658,80815.0,0.145484,4.23905e8,6.16715e7,4.28367e8
6.28319,276.468,120.364,0.0189040,77791.3,0.147647,4.07093e8,6.01062e7,4.11506e8
6.28319,284.751,123.148,0.0189380,75150.7,0.150713,3.92392e8,5.91385e7,3.96824e8
6.28319,293.378,126.040,0.0189728,72265.9,0.153056,3.76507e8,5.76267e7,3.80891e8
6.28319,301.626,128.768,0.0190035,69851.9,0.154818,3.63247e8,5.62372e7,3.67575e8
6.28319,309.911,130.155,0.0190358,67266.3,0.156968,3.49093e8,5.47963e7,3.53367e8
6.28319,318.194,130.167,0.0190476,66147.8,0.155190,3.43168e8,5.32562e7,3.47276e8

