Filename,60E_4_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,29.409,0.0152583,280547,0.0378095,1.83733e9,6.94686e7,1.83865e9
6.28319,16.3083,31.013,0.0152623,280209,0.0374368,1.83467e9,6.86841e7,1.83595e9
6.28319,24.5938,33.018,0.0152757,279483,0.0373017,1.82832e9,6.81997e7,1.82960e9
6.28319,32.8770,35.580,0.0152979,278321,0.0383122,1.81801e9,6.96518e7,1.81934e9
6.28319,41.1623,38.151,0.0153304,276601,0.0395036,1.80286e9,7.12194e7,1.80427e9
6.28319,49.4477,40.878,0.0153699,274561,0.0405620,1.78489e9,7.23985e7,1.78635e9
6.28319,57.7310,43.700,0.0154189,272056,0.0429881,1.76280e9,7.57797e7,1.76443e9
6.28319,66.0163,46.583,0.0154760,268936,0.0446344,1.73604e9,7.74869e7,1.73777e9
6.28319,74.2997,49.409,0.0155460,265456,0.0478767,1.70560e9,8.16584e7,1.70755e9
6.28319,82.5852,52.214,0.0156353,260652,0.0511456,1.66490e9,8.51523e7,1.66708e9
6.28319,90.8683,54.995,0.0157265,256156,0.0556575,1.62630e9,9.05156e7,1.62881e9
6.28319,99.1537,57.758,0.0158228,250934,0.0588464,1.58316e9,9.31633e7,1.58590e9
6.28319,107.437,60.541,0.0159441,244301,0.0619477,1.52931e9,9.47372e7,1.53224e9
6.28319,115.722,63.368,0.0160639,237950,0.0677961,1.47788e9,1.00194e8,1.48127e9
6.28319,130.885,68.446,0.0163043,224989,0.0769973,1.37586e9,1.05938e8,1.37994e9
6.28319,139.128,71.225,0.0164337,217704,0.0829402,1.32021e9,1.09498e8,1.32474e9
6.28319,147.412,73.985,0.0165721,209992,0.0869372,1.26238e9,1.09748e8,1.26714e9
6.28319,155.697,76.828,0.0166912,203154,0.0905911,1.21216e9,1.09811e8,1.21713e9
6.28319,163.980,79.600,0.0168211,196192,0.0979424,1.16079e9,1.13690e8,1.16634e9
6.28319,172.266,82.414,0.0169274,189656,0.0980922,1.11506e9,1.09379e8,1.12041e9
6.28319,180.549,85.166,0.0170413,183081,0.103111,1.06867e9,1.10191e8,1.07433e9
6.28319,188.835,87.962,0.0171477,177000,0.106732,1.02638e9,1.09547e8,1.03221e9
6.28319,197.118,90.731,0.0172363,171582,0.110111,9.89491e8,1.08954e8,9.95471e8
6.28319,205.403,93.517,0.0173346,166080,0.114497,9.51865e8,1.08986e8,9.58084e8
6.28319,213.687,96.261,0.0174178,161039,0.117668,9.18231e8,1.08046e8,9.24566e8
6.28319,221.972,99.036,0.0174958,156390,0.120093,8.87496e8,1.06582e8,8.93873e8
6.28319,230.255,101.857,0.0175684,151957,0.122104,8.58566e8,1.04834e8,8.64942e8
6.28319,238.540,104.617,0.0176428,147574,0.126748,8.29815e8,1.05177e8,8.36454e8
6.28319,246.824,107.384,0.0177100,143567,0.129237,8.03971e8,1.03903e8,8.10658e8
6.28319,255.109,110.157,0.0177772,139375,0.131315,7.77339e8,1.02076e8,7.84012e8
6.28319,264.887,113.401,0.0178570,134392,0.134931,7.45844e8,1.00637e8,7.52603e8
6.28319,273.156,116.176,0.0179232,130174,0.137718,7.19495e8,9.90874e7,7.26286e8
6.28319,281.441,118.998,0.0179962,125713,0.141642,6.91649e8,9.79663e7,6.98552e8
6.28319,289.724,121.771,0.0180720,121138,0.146089,6.63266e8,9.68956e7,6.70306e8
6.28319,298.010,124.532,0.0181395,117009,0.150700,6.37847e8,9.61236e7,6.45049e8
6.28319,309.876,128.475,0.0182470,110216,0.154918,5.96904e8,9.24711e7,6.04025e8
6.28319,318.148,130.429,0.0183172,105690,0.159778,5.69768e8,9.10366e7,5.76995e8
6.28319,326.432,130.262,0.0183585,102924,0.159161,5.53665e8,8.81218e7,5.60633e8

