Filename,60F_4_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,29.649,0.0165468,265554,0.0438812,1.60333e9,7.03559e7,1.60487e9
6.28319,18.8865,31.632,0.0165500,265246,0.0442325,1.60113e9,7.08220e7,1.60270e9
6.28319,27.1415,33.854,0.0165634,264375,0.0433962,1.59464e9,6.92013e7,1.59614e9
6.28319,35.4248,36.382,0.0165841,262877,0.0441490,1.58357e9,6.99130e7,1.58511e9
6.28319,43.7103,38.998,0.0166111,260783,0.0448974,1.56835e9,7.04151e7,1.56993e9
6.28319,51.9935,41.753,0.0166490,258209,0.0464777,1.54922e9,7.20043e7,1.55090e9
6.28319,60.2788,44.579,0.0166921,255098,0.0480173,1.52650e9,7.32982e7,1.52825e9
6.28319,68.5623,47.472,0.0167404,251748,0.0510209,1.50188e9,7.66272e7,1.50383e9
6.28319,76.8475,50.286,0.0167951,247877,0.0531833,1.47381e9,7.83819e7,1.47589e9
6.28319,85.1308,53.090,0.0168562,243494,0.0563215,1.44225e9,8.12297e7,1.44454e9
6.28319,93.4162,55.871,0.0169269,238330,0.0583372,1.40560e9,8.19990e7,1.40799e9
6.28319,102.897,59.040,0.0170128,232106,0.0629450,1.36161e9,8.57068e7,1.36431e9
6.28319,116.909,63.748,0.0171631,221217,0.0699289,1.28578e9,8.99128e7,1.28892e9
6.28319,125.894,66.773,0.0172661,214041,0.0760436,1.23609e9,9.39966e7,1.23966e9
6.28319,134.151,69.565,0.0173657,206757,0.0828833,1.18653e9,9.83438e7,1.19060e9
6.28319,142.437,72.341,0.0174668,199392,0.0867138,1.13728e9,9.86178e7,1.14155e9
6.28319,150.722,75.161,0.0175635,192197,0.0925921,1.08964e9,1.00892e8,1.09430e9
6.28319,159.005,77.943,0.0176594,185059,0.0985270,1.04289e9,1.02752e8,1.04794e9
6.28319,167.290,80.745,0.0177497,178191,0.102126,9.98711e8,1.01995e8,1.00391e9
6.28319,175.574,83.524,0.0178287,171950,0.105768,9.59109e8,1.01443e8,9.64459e8
6.28319,183.859,86.328,0.0179119,165723,0.110225,9.19646e8,1.01368e8,9.25215e8
6.28319,195.873,90.308,0.0180161,157581,0.116164,8.68824e8,1.00926e8,8.74666e8
6.28319,204.150,93.084,0.0180832,152075,0.118099,8.35174e8,9.86334e7,8.40979e8
6.28319,212.435,95.859,0.0181488,146912,0.121282,8.03595e8,9.74616e7,8.09484e8
6.28319,220.720,98.702,0.0182074,142295,0.124827,7.75506e8,9.68043e7,7.81524e8
6.28319,229.004,101.459,0.0182640,137419,0.125458,7.46550e8,9.36609e7,7.52402e8
6.28319,237.289,104.196,0.0183205,133074,0.128714,7.20424e8,9.27287e7,7.26367e8
6.28319,245.574,106.987,0.0183753,128690,0.133264,6.94206e8,9.25128e7,7.00343e8
6.28319,253.858,109.751,0.0184307,124154,0.134913,6.67579e8,9.00648e7,6.73627e8
6.28319,262.143,112.503,0.0184801,120129,0.139597,6.43800e8,8.98722e7,6.50042e8
6.28319,270.426,115.313,0.0185306,116028,0.141298,6.19986e8,8.76030e7,6.26144e8
6.28319,278.712,118.128,0.0185759,112303,0.144209,5.98373e8,8.62907e7,6.04563e8
6.28319,286.995,120.889,0.0186249,108345,0.148556,5.75409e8,8.54806e7,5.81724e8
6.28319,299.857,125.167,0.0186942,102413,0.153858,5.41459e8,8.33080e7,5.47830e8
6.28319,308.103,127.905,0.0187410,98392.7,0.156839,5.18674e8,8.13482e7,5.25014e8
6.28319,316.387,130.484,0.0187884,94454.3,0.159349,4.96464e8,7.91111e7,5.02728e8
6.28319,330.858,130.214,0.0188356,90067.5,0.159086,4.72239e8,7.51265e7,4.78178e8

