Filename,60I_4_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,28.880,0.0167029,243689,0.0404742,1.45777e9,5.90022e7,1.45897e9
6.28319,16.3083,30.693,0.0167108,243126,0.0406555,1.45371e9,5.91011e7,1.45491e9
6.28319,24.5918,32.958,0.0167244,242230,0.0413985,1.44713e9,5.99089e7,1.44837e9
6.28319,32.8773,35.498,0.0167507,240510,0.0425292,1.43453e9,6.10093e7,1.43582e9
6.28319,41.1605,38.119,0.0167827,238401,0.0445891,1.41911e9,6.32769e7,1.42052e9
6.28319,49.4458,40.901,0.0168226,235767,0.0465880,1.39997e9,6.52218e7,1.40149e9
6.28319,57.7293,43.763,0.0168707,232618,0.0496930,1.37713e9,6.84338e7,1.37883e9
6.28319,66.0145,46.662,0.0169217,228965,0.0518191,1.35127e9,7.00219e7,1.35309e9
6.28319,74.2978,49.504,0.0169850,224776,0.0562328,1.32129e9,7.42998e7,1.32338e9
6.28319,82.5833,52.305,0.0170550,219967,0.0597977,1.28745e9,7.69864e7,1.28975e9
6.28319,90.8665,55.083,0.0171293,214774,0.0629617,1.25136e9,7.87879e7,1.25384e9
6.28319,99.1518,57.844,0.0172144,209142,0.0685899,1.21208e9,8.31361e7,1.21492e9
6.28319,114.374,63.020,0.0173776,197192,0.0767696,1.13142e9,8.68584e7,1.13475e9
6.28319,122.656,65.789,0.0174755,190408,0.0844284,1.08571e9,9.16645e7,1.08957e9
6.28319,130.942,68.556,0.0175699,183606,0.0876522,1.04101e9,9.12471e7,1.04501e9
6.28319,139.227,71.328,0.0176613,176916,0.0909284,9.97600e8,9.07102e7,1.00172e9
6.28319,147.510,74.100,0.0177576,170143,0.0989991,9.53477e8,9.43934e7,9.58138e8
6.28319,155.795,76.916,0.0178406,163778,0.101935,9.13275e8,9.30952e7,9.18008e8
6.28319,164.079,79.649,0.0179260,157751,0.107576,8.74961e8,9.41246e7,8.80009e8
6.28319,172.364,82.389,0.0180032,151956,0.109981,8.38996e8,9.22736e7,8.44055e8
6.28319,180.647,85.148,0.0180713,146795,0.114717,8.07019e8,9.25788e7,8.12312e8
6.28319,188.933,87.917,0.0181364,141687,0.116137,7.76016e8,9.01244e7,7.81232e8
6.28319,197.216,90.737,0.0182010,136621,0.119178,7.45350e8,8.88294e7,7.50625e8
6.28319,205.501,93.490,0.0182620,131939,0.122703,7.17101e8,8.79902e7,7.22479e8
6.28319,213.785,96.274,0.0183125,127902,0.125080,6.93040e8,8.66855e7,6.98440e8
6.28319,222.070,99.053,0.0183756,123279,0.129292,6.65347e8,8.60238e7,6.70885e8
6.28319,234.380,103.216,0.0184494,117297,0.130454,6.30435e8,8.22427e7,6.35777e8
6.28319,242.668,105.986,0.0185002,113476,0.136437,6.07749e8,8.29193e7,6.13379e8
6.28319,250.954,108.765,0.0185537,109466,0.140455,5.84260e8,8.20622e7,5.89995e8
6.28319,259.237,111.517,0.0186009,105425,0.141209,5.61207e8,7.92473e7,5.66774e8
6.28319,267.522,114.319,0.0186485,101904,0.146668,5.40663e8,7.92982e7,5.46447e8
6.28319,275.806,117.144,0.0186966,97902.2,0.149072,5.17913e8,7.72064e7,5.23636e8
6.28319,284.091,119.905,0.0187456,94067.3,0.152252,4.96093e8,7.55314e7,5.01810e8
6.28319,292.374,122.673,0.0187963,90152.8,0.155731,4.73917e8,7.38034e7,4.79629e8
6.28319,300.660,125.437,0.0188406,86387.5,0.158153,4.52888e8,7.16257e7,4.58517e8
6.28319,313.892,129.910,0.0189169,80231.9,0.166501,4.18369e8,6.96587e7,4.24128e8
6.28319,328.906,130.271,0.0189631,75915.8,0.165464,3.94965e8,6.53523e7,4.00335e8

