Filename,50A_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.343,0.0169265,207710,0.0473507,1.22575e9,5.80403e7,1.22713e9
6.28319,16.3065,33.319,0.0169333,207266,0.0475563,1.22263e9,5.81439e7,1.22401e9
6.28319,24.5918,35.818,0.0169502,206217,0.0477579,1.21522e9,5.80364e7,1.21660e9
6.28319,32.8752,38.452,0.0169747,204538,0.0487602,1.20353e9,5.86844e7,1.20496e9
6.28319,41.1605,41.201,0.0170098,202455,0.0517414,1.18864e9,6.15018e7,1.19023e9
6.28319,49.4438,44.086,0.0170471,200445,0.0547471,1.17407e9,6.42770e7,1.17583e9
6.28319,57.7292,46.935,0.0170882,197780,0.0556184,1.15562e9,6.42737e7,1.15741e9
6.28319,66.0125,49.770,0.0171394,194711,0.0599805,1.13400e9,6.80181e7,1.13604e9
6.28319,74.2978,52.587,0.0171970,191160,0.0628615,1.10940e9,6.97387e7,1.11159e9
6.28319,83.3732,55.691,0.0172621,187129,0.0671879,1.08160e9,7.26708e7,1.08404e9
6.28319,91.6305,58.469,0.0173230,183096,0.0703074,1.05435e9,7.41287e7,1.05695e9
6.28319,99.9158,61.245,0.0174028,178231,0.0757158,1.02123e9,7.73233e7,1.02415e9
6.28319,108.199,64.042,0.0174739,173659,0.0803904,9.90618e8,7.96362e7,9.93814e8
6.28319,116.485,66.809,0.0175532,168575,0.0853998,9.56885e8,8.17179e7,9.60368e8
6.28319,124.768,69.592,0.0176340,163421,0.0900398,9.23002e8,8.31068e7,9.26735e8
6.28319,139.358,74.508,0.0177636,154638,0.0967659,8.66484e8,8.38461e7,8.70532e8
6.28319,152.369,78.869,0.0178733,147346,0.105182,8.19867e8,8.62355e7,8.24390e8
6.28319,160.637,81.650,0.0179371,142966,0.108108,7.92426e8,8.56674e7,7.97043e8
6.28319,168.920,84.477,0.0180013,138621,0.110724,7.65384e8,8.47462e7,7.70061e8
6.28319,177.206,87.270,0.0180617,134440,0.114527,7.39503e8,8.46931e7,7.44337e8
6.28319,185.489,90.018,0.0181205,130368,0.116919,7.14585e8,8.35489e7,7.19453e8
6.28319,193.774,92.753,0.0181778,126383,0.119306,6.90365e8,8.23646e7,6.95261e8
6.28319,202.060,95.487,0.0182321,122586,0.122621,6.67362e8,8.18327e7,6.72361e8
6.28319,210.343,98.272,0.0182873,118835,0.126813,6.44659e8,8.17509e7,6.49822e8
6.28319,218.628,100.989,0.0183389,115179,0.128886,6.22908e8,8.02841e7,6.28060e8
6.28319,226.914,103.770,0.0183935,111396,0.131276,6.00473e8,7.88276e7,6.05625e8
6.28319,235.197,106.527,0.0184436,107799,0.135169,5.79215e8,7.82921e7,5.84483e8
6.28319,243.482,109.301,0.0184903,104265,0.136013,5.58746e8,7.59967e7,5.63890e8
6.28319,251.766,112.055,0.0185397,100779,0.137954,5.38483e8,7.42860e7,5.43583e8
6.28319,260.051,114.861,0.0185837,97337.0,0.139466,5.18757e8,7.23490e7,5.23777e8
6.28319,268.334,117.590,0.0186347,93977.4,0.143702,4.99186e8,7.17340e7,5.04314e8
6.28319,276.620,120.348,0.0186781,90629.7,0.145008,4.80198e8,6.96326e7,4.85220e8
6.28319,284.903,123.184,0.0187192,87616.7,0.146979,4.63083e8,6.80634e7,4.68059e8
6.28319,293.188,125.939,0.0187604,84614.0,0.150170,4.46023e8,6.69793e7,4.51024e8
6.28319,301.472,128.718,0.0188012,81515.4,0.152423,4.28614e8,6.53305e7,4.33565e8
6.28319,309.757,130.334,0.0188357,78809.1,0.151793,4.13666e8,6.27915e7,4.18404e8
6.28319,318.041,130.206,0.0188512,77275.5,0.149287,4.05430e8,6.05255e7,4.09923e8

