Filename,50C_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,30.973,0.0166401,199005,0.0466691,1.19464e9,5.57526e7,1.19594e9
6.28319,16.3065,33.146,0.0166507,198417,0.0470390,1.19033e9,5.59919e7,1.19165e9
6.28319,24.5920,35.799,0.0166762,197084,0.0482673,1.18045e9,5.69773e7,1.18183e9
6.28319,32.8752,38.510,0.0167089,195304,0.0495150,1.16743e9,5.78054e7,1.16886e9
6.28319,41.1605,41.344,0.0167497,193166,0.0522868,1.15168e9,6.02174e7,1.15325e9
6.28319,49.4440,44.163,0.0168000,190497,0.0547105,1.13222e9,6.19441e7,1.13391e9
6.28319,57.7293,46.992,0.0168573,187514,0.0587635,1.11045e9,6.52538e7,1.11236e9
6.28319,66.0127,49.808,0.0169177,184038,0.0607848,1.08584e9,6.60025e7,1.08784e9
6.28319,74.2980,52.687,0.0169850,180512,0.0643972,1.06058e9,6.82981e7,1.06277e9
6.28319,87.3695,57.059,0.0171077,173832,0.0710412,1.01355e9,7.20038e7,1.01610e9
6.28319,95.6125,59.824,0.0171928,168938,0.0759298,9.79791e8,7.43953e7,9.82611e8
6.28319,103.896,62.610,0.0172845,163852,0.0797154,9.44973e8,7.53289e7,9.47971e8
6.28319,112.181,65.425,0.0173755,158702,0.0845643,9.10114e8,7.69631e7,9.13363e8
6.28319,120.464,68.196,0.0174682,153360,0.0886993,8.74506e8,7.75680e7,8.77939e8
6.28319,128.750,70.948,0.0175604,148112,0.0929146,8.39824e8,7.80319e7,8.43441e8
6.28319,137.033,73.711,0.0176538,142630,0.0980880,8.04069e8,7.88695e7,8.07928e8
6.28319,145.318,76.493,0.0177451,137466,0.102227,7.70653e8,7.87815e7,7.74669e8
6.28319,153.602,79.251,0.0178321,132324,0.107425,7.37809e8,7.92592e7,7.42054e8
6.28319,161.887,82.045,0.0179146,127471,0.111086,7.07200e8,7.85602e7,7.11550e8
6.28319,170.170,84.815,0.0179844,123041,0.113121,6.79822e8,7.69022e7,6.84158e8
6.28319,178.456,87.618,0.0180588,118607,0.115974,6.52412e8,7.56629e7,6.56785e8
6.28319,186.739,90.389,0.0181288,114379,0.120206,6.26416e8,7.52990e7,6.30925e8
6.28319,195.025,93.169,0.0181963,110286,0.124087,6.01475e8,7.46355e7,6.06088e8
6.28319,203.308,95.927,0.0182634,106165,0.127731,5.76615e8,7.36515e7,5.81300e8
6.28319,211.593,98.739,0.0183256,102281,0.131271,5.53383e8,7.26431e7,5.58131e8
6.28319,219.877,101.514,0.0183875,98437.0,0.133664,5.30628e8,7.09259e7,5.35347e8
6.28319,228.162,104.267,0.0184474,94656.6,0.137802,5.08312e8,7.00462e7,5.13115e8
6.28319,236.445,107.023,0.0185099,90703.4,0.140447,4.85263e8,6.81538e7,4.90026e8
6.28319,244.730,109.813,0.0185643,87222.0,0.142777,4.65120e8,6.64082e7,4.69837e8
6.28319,253.016,112.553,0.0186190,83674.9,0.146811,4.44640e8,6.52779e7,4.49406e8
6.28319,261.299,115.346,0.0186699,80310.5,0.146920,4.25591e8,6.25280e7,4.30159e8
6.28319,269.585,118.166,0.0187199,77136.0,0.151615,4.07398e8,6.17678e7,4.12054e8
6.28319,277.868,120.919,0.0187665,74014.0,0.152452,3.89890e8,5.94393e7,3.94394e8
6.28319,286.153,123.698,0.0188096,71147.7,0.155065,3.73786e8,5.79609e7,3.78253e8
6.28319,294.436,126.461,0.0188534,68278.0,0.156974,3.57770e8,5.61606e7,3.62151e8
6.28319,302.722,129.210,0.0188909,65743.9,0.158200,3.43744e8,5.43803e7,3.48019e8
6.28319,311.005,130.118,0.0189258,63268.8,0.159196,3.30142e8,5.25573e7,3.34299e8
6.28319,319.290,130.221,0.0189430,62001.9,0.154348,3.23477e8,4.99280e7,3.27307e8

