Filename,50D_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.674,0.0171305,179285,0.0561735,1.04494e9,5.86979e7,1.04659e9
6.28319,16.3065,33.526,0.0171385,178778,0.0565707,1.04147e9,5.89167e7,1.04313e9
6.28319,24.5918,35.975,0.0171552,177774,0.0566004,1.03462e9,5.85596e7,1.03627e9
6.28319,32.8753,38.515,0.0171818,176228,0.0581359,1.02394e9,5.95274e7,1.02566e9
6.28319,41.1605,41.273,0.0172169,174271,0.0609332,1.01034e9,6.15632e7,1.01221e9
6.28319,49.4438,44.085,0.0172604,171839,0.0633685,9.93580e8,6.29617e7,9.95573e8
6.28319,57.7293,46.933,0.0173095,169090,0.0674614,9.74643e8,6.57508e7,9.76858e8
6.28319,66.0125,49.765,0.0173608,166116,0.0707668,9.54456e8,6.75438e7,9.56843e8
6.28319,74.2978,52.607,0.0174216,162653,0.0745125,9.31044e8,6.93744e7,9.33625e8
6.28319,82.5813,55.483,0.0174865,158843,0.0789164,9.05563e8,7.14638e7,9.08379e8
6.28319,90.8665,58.256,0.0175551,154903,0.0829496,8.79361e8,7.29427e7,8.82382e8
6.28319,99.1498,61.026,0.0176261,150653,0.0884264,8.51392e8,7.52856e7,8.54715e8
6.28319,107.435,63.801,0.0176998,146301,0.0925098,8.23055e8,7.61406e7,8.26569e8
6.28319,115.719,66.591,0.0177754,141727,0.0976453,7.93547e8,7.74861e7,7.97321e8
6.28319,126.370,70.153,0.0178706,135618,0.101721,7.54990e8,7.67985e7,7.58885e8
6.28319,139.354,74.489,0.0179862,128444,0.108773,7.09935e8,7.72217e7,7.14123e8
6.28319,147.610,77.278,0.0180585,123979,0.115113,6.82037e8,7.85117e7,6.86541e8
6.28319,155.894,80.125,0.0181300,119443,0.116870,6.54363e8,7.64752e7,6.58817e8
6.28319,164.179,82.906,0.0181952,115190,0.120180,6.28558e8,7.55403e7,6.33080e8
6.28319,172.462,85.701,0.0182619,110984,0.124363,6.03088e8,7.50017e7,6.07734e8
6.28319,180.747,88.464,0.0183181,107208,0.125562,5.80696e8,7.29135e7,5.85256e8
6.28319,189.031,91.212,0.0183749,103497,0.130186,5.58541e8,7.27142e7,5.63254e8
6.28319,197.316,94.010,0.0184317,99792.4,0.131248,5.36813e8,7.04554e7,5.41417e8
6.28319,205.599,96.744,0.0184820,96457.5,0.134382,5.17251e8,6.95093e7,5.21901e8
6.28319,213.885,99.503,0.0185365,92865.8,0.137819,4.96298e8,6.83994e7,5.00989e8
6.28319,222.168,102.211,0.0185836,89683.0,0.139412,4.77969e8,6.66344e7,4.82591e8
6.28319,230.453,104.969,0.0186338,86361.2,0.141994,4.58863e8,6.51559e7,4.63466e8
6.28319,238.737,107.720,0.0186804,83168.0,0.143181,4.40720e8,6.31029e7,4.45215e8
6.28319,247.022,110.496,0.0187270,80051.4,0.146790,4.22932e8,6.20821e7,4.27465e8
6.28319,255.305,113.272,0.0187709,76997.2,0.147891,4.05781e8,6.00112e7,4.10195e8
6.28319,263.591,116.105,0.0188116,74078.3,0.150427,3.89409e8,5.85777e7,3.93790e8
6.28319,271.874,118.867,0.0188511,71350.3,0.151175,3.74243e8,5.65763e7,3.78495e8
6.28319,280.159,121.602,0.0188890,68752.4,0.153841,3.59749e8,5.53442e7,3.63981e8
6.28319,288.443,124.381,0.0189285,66061.5,0.157031,3.44780e8,5.41412e7,3.49005e8
6.28319,296.728,127.143,0.0189633,63512.0,0.157744,3.30830e8,5.21864e7,3.34921e8
6.28319,305.011,129.900,0.0189996,61098.7,0.161040,3.17488e8,5.11283e7,3.21578e8
6.28319,313.297,130.123,0.0190254,59097.7,0.159159,3.06764e8,4.88242e7,3.10625e8
6.28319,321.580,130.153,0.0190413,57814.8,0.157010,2.99954e8,4.70957e7,3.03629e8

