Filename,50F_4_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,12.8963,32.309,0.0164967,260363,0.0444782,1.57671e9,7.01292e7,1.57827e9
6.28319,21.1522,34.897,0.0165079,259296,0.0439568,1.56923e9,6.89782e7,1.57074e9
6.28319,29.4375,37.427,0.0165331,257783,0.0449219,1.55762e9,6.99713e7,1.55919e9
6.28319,37.7208,40.126,0.0165597,255953,0.0456128,1.54403e9,7.04277e7,1.54564e9
6.28319,46.0062,42.920,0.0165888,253932,0.0464799,1.52910e9,7.10722e7,1.53075e9
6.28319,54.2895,45.758,0.0166317,251268,0.0493751,1.50894e9,7.45040e7,1.51078e9
6.28319,62.5748,48.641,0.0166760,247928,0.0503900,1.48485e9,7.48217e7,1.48674e9
6.28319,70.8582,51.454,0.0167295,244535,0.0530181,1.45965e9,7.73878e7,1.46170e9
6.28319,79.3788,54.293,0.0167858,240492,0.0559723,1.43047e9,8.00668e7,1.43271e9
6.28319,87.6308,57.058,0.0168472,236253,0.0581205,1.39997e9,8.13669e7,1.40233e9
6.28319,95.9162,59.903,0.0169222,231164,0.0623013,1.36340e9,8.49414e7,1.36604e9
6.28319,104.200,62.665,0.0169983,225975,0.0661814,1.32649e9,8.77892e7,1.32940e9
6.28319,112.485,65.456,0.0170815,220116,0.0692393,1.28555e9,8.90103e7,1.28862e9
6.28319,122.370,68.801,0.0171826,212661,0.0747630,1.23421e9,9.22732e7,1.23765e9
6.28319,130.633,71.573,0.0172650,206792,0.0794969,1.19399e9,9.49183e7,1.19775e9
6.28319,138.919,74.344,0.0173590,200039,0.0844385,1.14828e9,9.69589e7,1.15236e9
6.28319,147.202,77.116,0.0174466,193818,0.0880930,1.10664e9,9.74869e7,1.11092e9
6.28319,155.487,79.922,0.0175347,187729,0.0940182,1.06591e9,1.00215e8,1.07061e9
6.28319,163.771,82.732,0.0176123,181722,0.0947656,1.02718e9,9.73418e7,1.03179e9
6.28319,172.056,85.497,0.0176943,176036,0.102151,9.89726e8,1.01102e8,9.94877e8
6.28319,180.339,88.248,0.0177660,170678,0.103618,9.55587e8,9.90156e7,9.60703e8
6.28319,188.625,91.070,0.0178265,165861,0.106200,9.25216e8,9.82581e7,9.30419e8
6.28319,196.908,93.841,0.0178909,161395,0.109841,8.96712e8,9.84960e7,9.02105e8
6.28319,205.193,96.596,0.0179450,157134,0.112264,8.70174e8,9.76888e7,8.75641e8
6.28319,213.477,99.347,0.0180008,153005,0.115490,8.44376e8,9.75166e7,8.49989e8
6.28319,221.762,102.103,0.0180531,149084,0.117277,8.20189e8,9.61891e7,8.25810e8
6.28319,230.045,104.915,0.0180974,145570,0.120263,7.98613e8,9.60438e7,8.04368e8
6.28319,244.367,109.717,0.0181794,139281,0.123455,7.60375e8,9.38720e7,7.66148e8
6.28319,252.632,112.460,0.0182310,135373,0.127588,7.36572e8,9.39777e7,7.42543e8
6.28319,260.917,115.210,0.0182795,131527,0.128642,7.13651e8,9.18052e7,7.19532e8
6.28319,269.200,117.948,0.0183295,127558,0.130371,6.90075e8,8.99657e7,6.95914e8
6.28319,277.486,120.747,0.0183808,123564,0.133762,6.66310e8,8.91271e7,6.72244e8
6.28319,285.769,123.512,0.0184351,119345,0.135700,6.41497e8,8.70514e7,6.47376e8
6.28319,294.054,126.330,0.0184906,115065,0.140531,6.16234e8,8.66000e7,6.22290e8
6.28319,302.337,129.040,0.0185498,110359,0.142924,5.88950e8,8.41753e7,5.94935e8
6.28319,310.623,130.163,0.0186026,106070,0.145812,5.64225e8,8.22707e7,5.70192e8
6.28319,318.906,130.241,0.0186266,103880,0.143372,5.52051e8,7.91486e7,5.57696e8

