Filename,60B_1_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,28.976,0.0157822,313305,0.0410624,1.98351e9,8.14478e7,1.98518e9
6.28319,16.3083,30.702,0.0157892,312681,0.0412193,1.97866e9,8.15591e7,1.98034e9
6.28319,24.5917,33.025,0.0158040,311662,0.0414422,1.97035e9,8.16558e7,1.97205e9
6.28319,39.8985,37.733,0.0158621,307303,0.0443990,1.93544e9,8.59315e7,1.93734e9
6.28319,49.8958,41.054,0.0159178,303570,0.0467145,1.90503e9,8.89923e7,1.90710e9
6.28319,58.1670,43.963,0.0159738,299752,0.0487706,1.87430e9,9.14106e7,1.87653e9
6.28319,66.4505,46.817,0.0160408,295637,0.0529288,1.84046e9,9.74132e7,1.84303e9
6.28319,74.7360,49.634,0.0161077,290932,0.0550785,1.80344e9,9.93304e7,1.80617e9
6.28319,83.0192,52.409,0.0161842,285972,0.0588003,1.76393e9,1.03720e8,1.76698e9
6.28319,91.3045,55.183,0.0162716,280208,0.0628637,1.71868e9,1.08043e8,1.72207e9
6.28319,103.856,59.389,0.0164115,270684,0.0698284,1.64535e9,1.14892e8,1.64936e9
6.28319,112.851,62.410,0.0165254,262876,0.0743707,1.58636e9,1.17979e8,1.59074e9
6.28319,121.104,65.190,0.0166274,255710,0.0788965,1.53312e9,1.20957e8,1.53788e9
6.28319,129.388,68.018,0.0167451,247949,0.0845606,1.47546e9,1.24766e8,1.48072e9
6.28319,137.673,70.803,0.0168569,239941,0.0885025,1.41786e9,1.25484e8,1.42340e9
6.28319,145.956,73.582,0.0169767,231331,0.0927988,1.35681e9,1.25910e8,1.36264e9
6.28319,154.242,76.351,0.0170830,223973,0.0981453,1.30482e9,1.28062e8,1.31109e9
6.28319,162.525,79.147,0.0171940,216367,0.106070,1.25137e9,1.32733e8,1.25839e9
6.28319,175.876,83.608,0.0173393,205163,0.107939,1.17639e9,1.26978e8,1.18322e9
6.28319,184.143,86.388,0.0174346,198576,0.114622,1.13157e9,1.29702e8,1.13898e9
6.28319,200.852,91.989,0.0175994,186182,0.120294,1.05031e9,1.26347e8,1.05789e9
6.28319,209.898,95.066,0.0176799,180064,0.123604,1.01077e9,1.24936e8,1.01847e9
6.28319,218.175,97.834,0.0177504,175026,0.128578,9.77990e8,1.25748e8,9.86041e8
6.28319,226.460,100.625,0.0178170,170067,0.132769,9.46219e8,1.25628e8,9.54522e8
6.28319,234.743,103.355,0.0178804,165370,0.135096,9.16542e8,1.23821e8,9.24868e8
6.28319,243.029,106.188,0.0179460,160260,0.138474,8.84571e8,1.22491e8,8.93012e8
6.28319,251.312,108.943,0.0180119,155400,0.141251,8.54280e8,1.20668e8,8.62760e8
6.28319,259.597,111.726,0.0180740,150597,0.145435,8.24549e8,1.19918e8,8.33223e8
6.28319,267.881,114.494,0.0181352,145939,0.148483,7.96001e8,1.18192e8,8.04728e8
6.28319,276.166,117.252,0.0181956,140962,0.150761,7.66048e8,1.15490e8,7.74705e8
6.28319,284.449,120.046,0.0182680,135669,0.156696,7.33706e8,1.14969e8,7.42659e8
6.28319,292.735,122.780,0.0183257,131054,0.158989,7.06268e8,1.12289e8,7.15138e8
6.28319,301.018,125.541,0.0183896,125913,0.162613,6.75819e8,1.09897e8,6.84696e8
6.28319,309.303,128.265,0.0184492,121085,0.164414,6.47622e8,1.06478e8,6.56317e8
6.28319,317.587,130.458,0.0185172,116021,0.171852,6.17504e8,1.06119e8,6.26556e8
6.28319,325.872,130.255,0.0185565,112525,0.170487,5.97766e8,1.01911e8,6.06391e8

