Filename,60C_4_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,28.970,0.0166536,249405,0.0415914,1.49631e9,6.22338e7,1.49761e9
6.28319,16.3083,30.766,0.0166602,248815,0.0404569,1.49225e9,6.03718e7,1.49347e9
6.28319,24.5918,32.996,0.0166745,247730,0.0413595,1.48441e9,6.13946e7,1.48568e9
6.28319,32.8772,35.514,0.0166978,246233,0.0423344,1.47333e9,6.23724e7,1.47465e9
6.28319,41.1625,38.119,0.0167254,244290,0.0437986,1.45919e9,6.39106e7,1.46059e9
6.28319,49.4458,40.877,0.0167621,241728,0.0451564,1.44065e9,6.50544e7,1.44212e9
6.28319,57.7312,43.790,0.0168082,238622,0.0463711,1.41816e9,6.57614e7,1.41968e9
6.28319,66.0145,46.609,0.0168625,234920,0.0501478,1.39140e9,6.97758e7,1.39315e9
6.28319,74.2998,49.440,0.0169222,230761,0.0532639,1.36173e9,7.25311e7,1.36366e9
6.28319,82.5832,52.233,0.0169899,226184,0.0574609,1.32910e9,7.63712e7,1.33129e9
6.28319,90.8687,55.006,0.0170660,220942,0.0597765,1.29233e9,7.72508e7,1.29464e9
6.28319,99.1518,57.834,0.0171451,215566,0.0658362,1.25459e9,8.25973e7,1.25731e9
6.28319,107.437,60.601,0.0172341,209155,0.0683495,1.21079e9,8.27566e7,1.21361e9
6.28319,115.720,63.365,0.0173204,203137,0.0739750,1.16962e9,8.65227e7,1.17282e9
6.28319,124.006,66.173,0.0174125,196801,0.0802754,1.12660e9,9.04383e7,1.13022e9
6.28319,132.289,68.943,0.0175060,190188,0.0846541,1.08254e9,9.16415e7,1.08641e9
6.28319,140.574,71.714,0.0175982,183624,0.0909465,1.03914e9,9.45060e7,1.04343e9
6.28319,148.858,74.556,0.0176935,176789,0.0949512,9.94703e8,9.44483e7,9.99177e8
6.28319,159.904,78.246,0.0178102,168018,0.102237,9.38489e8,9.59485e7,9.43381e8
6.28319,168.180,81.053,0.0178900,162333,0.106869,9.02260e8,9.64235e7,9.07397e8
6.28319,176.466,83.844,0.0179665,156540,0.110239,8.66044e8,9.54716e7,8.71290e8
6.28319,184.749,86.573,0.0180351,151194,0.111920,8.33133e8,9.32443e7,8.38335e8
6.28319,198.866,91.317,0.0181447,142732,0.117440,7.81261e8,9.17510e7,7.86631e8
6.28319,207.131,94.088,0.0182086,138023,0.122808,7.52358e8,9.23959e7,7.58010e8
6.28319,215.417,96.861,0.0182662,133554,0.126830,7.25342e8,9.19949e7,7.31153e8
6.28319,223.700,99.599,0.0183176,129340,0.126552,7.00511e8,8.86510e7,7.06098e8
6.28319,232.892,102.668,0.0183739,124984,0.131924,6.74386e8,8.89674e7,6.80229e8
6.28319,241.902,105.749,0.0184273,120549,0.133230,6.48455e8,8.63935e7,6.54185e8
6.28319,251.892,109.030,0.0184881,115771,0.136063,6.20478e8,8.44243e7,6.26195e8
6.28319,261.897,112.388,0.0185413,111541,0.138602,5.95884e8,8.25906e7,6.01581e8
6.28319,270.172,115.237,0.0185861,107916,0.142806,5.74792e8,8.20838e7,5.80624e8
6.28319,278.456,117.996,0.0186335,104163,0.145039,5.53223e8,8.02388e7,5.59012e8
6.28319,286.896,120.791,0.0186751,100980,0.148974,5.34818e8,7.96742e7,5.40720e8
6.28319,295.893,123.795,0.0187234,97153.3,0.151975,5.12998e8,7.79627e7,5.18888e8
6.28319,304.176,126.518,0.0187626,93914.8,0.156474,4.94525e8,7.73804e7,5.00542e8
6.28319,313.896,129.749,0.0188142,89607.6,0.158831,4.70380e8,7.47111e7,4.76277e8
6.28319,323.898,130.204,0.0188539,86250.5,0.160974,4.51653e8,7.27046e7,4.57467e8
6.28319,332.142,130.216,0.0188730,84403.0,0.158314,4.41714e8,6.99296e7,4.47215e8

