Filename,60D_4_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,28.947,0.0164823,244363,0.0409735,1.48134e9,6.06955e7,1.48258e9
6.28319,16.3085,30.708,0.0164907,243690,0.0401780,1.47655e9,5.93247e7,1.47774e9
6.28319,24.5920,32.949,0.0165091,242495,0.0413827,1.46760e9,6.07333e7,1.46886e9
6.28319,32.8773,35.502,0.0165374,240721,0.0420300,1.45433e9,6.11254e7,1.45561e9
6.28319,41.1607,38.130,0.0165694,238653,0.0438578,1.43894e9,6.31089e7,1.44033e9
6.28319,49.4460,40.894,0.0166134,235890,0.0455333,1.41840e9,6.45846e7,1.41987e9
6.28319,57.7293,43.734,0.0166652,232751,0.0493001,1.39493e9,6.87703e7,1.39663e9
6.28319,68.3682,47.457,0.0167337,228569,0.0528573,1.36402e9,7.20985e7,1.36593e9
6.28319,76.6438,50.247,0.0167995,224478,0.0583188,1.33395e9,7.77943e7,1.33621e9
6.28319,84.9292,53.052,0.0168698,219807,0.0597794,1.30064e9,7.77516e7,1.30296e9
6.28319,93.2125,55.818,0.0169390,215453,0.0638271,1.26935e9,8.10188e7,1.27193e9
6.28319,101.498,58.582,0.0170255,209760,0.0682334,1.22918e9,8.38710e7,1.23203e9
6.28319,109.781,61.346,0.0171061,204664,0.0721516,1.19334e9,8.61015e7,1.19644e9
6.28319,119.362,64.567,0.0172046,197914,0.0777323,1.14690e9,8.91508e7,1.15036e9
6.28319,130.378,68.280,0.0173341,189477,0.0848377,1.08917e9,9.24031e7,1.09309e9
6.28319,138.665,71.057,0.0174243,183442,0.0914385,1.04842e9,9.58658e7,1.05279e9
6.28319,146.950,73.857,0.0175211,177088,0.0964747,1.00604e9,9.70575e7,1.01071e9
6.28319,155.233,76.650,0.0176127,171031,0.101990,9.66057e8,9.85280e7,9.71068e8
6.28319,163.519,79.452,0.0176953,165369,0.107154,9.29215e8,9.95690e7,9.34534e8
6.28319,171.802,82.239,0.0177797,159527,0.110372,8.91825e8,9.84322e7,8.97241e8
6.28319,180.087,85.000,0.0178534,154109,0.112368,8.57790e8,9.63882e7,8.63189e8
6.28319,188.371,87.834,0.0179332,148611,0.115861,8.23185e8,9.53751e7,8.28692e8
6.28319,196.656,90.585,0.0180018,143893,0.121616,7.93479e8,9.64995e7,7.99325e8
6.28319,204.941,93.376,0.0180686,139070,0.123001,7.63920e8,9.39628e7,7.69677e8
6.28319,213.225,96.145,0.0181289,134684,0.126992,7.37006e8,9.35939e7,7.42925e8
6.28319,221.510,98.924,0.0181959,129931,0.129924,7.08114e8,9.20012e7,7.14066e8
6.28319,229.794,101.729,0.0182506,125924,0.131818,6.84054e8,9.01707e7,6.89971e8
6.28319,238.079,104.468,0.0183062,121776,0.136190,6.59133e8,8.97672e7,6.65218e8
6.28319,246.362,107.249,0.0183624,117604,0.137654,6.34481e8,8.73388e7,6.40464e8
6.28319,254.647,109.997,0.0184120,113824,0.139554,6.12275e8,8.54457e7,6.18208e8
6.28319,262.931,112.751,0.0184725,109553,0.144489,5.86963e8,8.48096e7,5.93059e8
6.28319,271.216,115.568,0.0185270,105461,0.147141,5.63166e8,8.28648e7,5.69230e8
6.28319,279.499,118.333,0.0185770,101739,0.149970,5.41602e8,8.12243e7,5.47659e8
6.28319,287.785,121.100,0.0186328,97617.5,0.155217,5.17701e8,8.03559e7,5.23901e8
6.28319,296.068,123.859,0.0186843,93545.5,0.155537,4.94715e8,7.69466e7,5.00664e8
6.28319,304.353,126.645,0.0187452,89177.3,0.161447,4.69652e8,7.58239e7,4.75733e8
6.28319,312.637,129.372,0.0187999,85175.3,0.167691,4.46824e8,7.49282e7,4.53063e8
6.28319,320.922,130.027,0.0188471,81440.3,0.170620,4.25956e8,7.26768e7,4.32111e8
6.28319,329.207,130.208,0.0188681,79413.6,0.165199,4.15259e8,6.86005e7,4.20887e8

