Filename,60G_1_A
Instrument name,RSAG2
Operator,
rundate,5/30/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,29.039,0.0165519,185922,0.0544160,1.12161e9,6.10333e7,1.12327e9
6.28319,21.8767,32.113,0.0165709,184824,0.0546996,1.11368e9,6.09181e7,1.11535e9
6.28319,30.1492,34.663,0.0165982,183465,0.0555282,1.10363e9,6.12828e7,1.10533e9
6.28319,38.4345,37.276,0.0166366,181577,0.0572068,1.08965e9,6.23354e7,1.09143e9
6.28319,46.7180,40.016,0.0166831,179352,0.0598663,1.07314e9,6.42447e7,1.07506e9
6.28319,55.0032,42.851,0.0167382,176675,0.0623811,1.05347e9,6.57168e7,1.05552e9
6.28319,63.2865,45.753,0.0168007,173631,0.0649645,1.03130e9,6.69980e7,1.03348e9
6.28319,71.5720,48.586,0.0168694,170307,0.0695601,1.00713e9,7.00557e7,1.00956e9
6.28319,79.8552,51.369,0.0169435,166641,0.0731020,9.80891e8,7.17051e7,9.83509e8
6.28319,88.1405,54.138,0.0170215,162841,0.0777580,9.53799e8,7.41655e7,9.56679e8
6.28319,106.850,60.417,0.0172202,152493,0.0873440,8.82186e8,7.70537e7,8.85545e8
6.28319,115.113,63.195,0.0173157,147600,0.0932751,8.48724e8,7.91648e7,8.52408e8
6.28319,123.396,65.968,0.0174175,142406,0.0980739,8.13697e8,7.98024e7,8.17601e8
6.28319,131.681,68.755,0.0175165,137359,0.104337,7.79932e8,8.13755e7,7.84166e8
6.28319,139.965,71.526,0.0176165,132099,0.109305,7.45421e8,8.14785e7,7.49860e8
6.28319,148.250,74.344,0.0177130,127012,0.114323,7.12415e8,8.14456e7,7.17055e8
6.28319,156.846,77.233,0.0178075,121914,0.119165,6.79810e8,8.10094e7,6.84619e8
6.28319,165.124,80.006,0.0178890,117515,0.124082,6.51914e8,8.08908e7,6.56913e8
6.28319,173.408,82.787,0.0179706,113088,0.127321,6.24259e8,7.94811e7,6.29299e8
6.28319,181.693,85.606,0.0180444,108999,0.131243,5.98923e8,7.86044e7,6.04059e8
6.28319,189.977,88.374,0.0181163,105039,0.134852,5.74606e8,7.74870e7,5.79807e8
6.28319,198.262,91.165,0.0181871,101143,0.137878,5.50911e8,7.59586e7,5.56123e8
6.28319,206.545,93.924,0.0182540,97375.7,0.141923,5.28156e8,7.49577e7,5.33448e8
6.28319,214.831,96.701,0.0183212,93553.9,0.144144,5.05409e8,7.28518e7,5.10632e8
6.28319,223.114,99.527,0.0183790,90212.3,0.147153,4.85616e8,7.14598e7,4.90845e8
6.28319,231.399,102.292,0.0184418,86778.9,0.152030,4.65210e8,7.07259e7,4.70555e8
6.28319,239.683,105.053,0.0184966,83522.9,0.152994,4.46365e8,6.82914e7,4.51559e8
6.28319,247.968,107.796,0.0185530,80302.6,0.156360,4.27632e8,6.68646e7,4.32828e8
6.28319,256.251,110.564,0.0186064,77080.4,0.158001,4.09193e8,6.46527e7,4.14269e8
6.28319,264.537,113.340,0.0186575,74141.0,0.162132,3.92257e8,6.35972e7,3.97379e8
6.28319,272.820,116.121,0.0187072,71135.0,0.163426,3.75276e8,6.13299e7,3.80254e8
6.28319,281.105,118.884,0.0187537,68349.0,0.165971,3.59539e8,5.96730e7,3.64457e8
6.28319,289.388,121.634,0.0188007,65634.6,0.167056,3.44335e8,5.75233e7,3.49106e8
6.28319,297.674,124.391,0.0188450,62968.3,0.171276,3.29342e8,5.64084e7,3.34138e8
6.28319,305.957,127.151,0.0188880,60281.2,0.172328,3.14515e8,5.41997e7,3.19151e8
6.28319,314.242,129.962,0.0189300,57807.4,0.174988,3.00804e8,5.26370e7,3.05375e8
6.28319,322.526,130.126,0.0189629,55649.2,0.176047,2.89019e8,5.08808e7,2.93463e8
6.28319,330.811,130.137,0.0189804,54429.5,0.172260,2.82605e8,4.86814e7,2.86767e8

