Filename,60H_1_A
Instrument name,RSAG2
Operator,
rundate,5/30/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,28.972,0.0172981,188437,0.0516722,1.08790e9,5.62142e7,1.08935e9
6.28319,16.3063,30.753,0.0173038,187980,0.0501033,1.08499e9,5.43615e7,1.08635e9
6.28319,24.5917,32.935,0.0173177,186900,0.0506840,1.07786e9,5.46303e7,1.07924e9
6.28319,32.8750,35.461,0.0173414,185516,0.0524761,1.06832e9,5.60613e7,1.06979e9
6.28319,41.1603,38.127,0.0173690,183583,0.0534910,1.05545e9,5.64569e7,1.05695e9
6.28319,49.4437,40.901,0.0174059,181244,0.0557799,1.03966e9,5.79924e7,1.04128e9
6.28319,57.7290,43.751,0.0174479,178580,0.0583485,1.02177e9,5.96186e7,1.02350e9
6.28319,66.0123,46.582,0.0174976,175320,0.0619559,1.00005e9,6.19588e7,1.00196e9
6.28319,74.2977,49.409,0.0175519,171829,0.0650907,9.76909e8,6.35877e7,9.78976e8
6.28319,82.5810,52.267,0.0176084,167932,0.0687711,9.51459e8,6.54329e7,9.53706e8
6.28319,90.8663,55.035,0.0176711,163878,0.0715143,9.25017e8,6.61520e7,9.27380e8
6.28319,99.1497,57.805,0.0177404,159352,0.0771772,8.95577e8,6.91181e7,8.98240e8
6.28319,107.435,60.580,0.0178125,154494,0.0811313,8.64492e8,7.01374e7,8.67333e8
6.28319,115.718,63.350,0.0178849,149695,0.0860403,8.33907e8,7.17496e7,8.36988e8
6.28319,124.004,66.144,0.0179613,144441,0.0918960,8.00805e8,7.35908e7,8.04179e8
6.28319,132.287,68.994,0.0180380,139345,0.0961080,7.68963e8,7.39035e7,7.72506e8
6.28319,140.572,71.767,0.0181140,133944,0.102375,7.35603e8,7.53077e7,7.39448e8
6.28319,148.856,74.526,0.0181920,128770,0.108596,7.03699e8,7.64190e7,7.07837e8
6.28319,157.141,77.299,0.0182597,123934,0.113240,6.74420e8,7.63714e7,6.78730e8
6.28319,165.424,80.085,0.0183293,119037,0.117086,6.45029e8,7.55240e7,6.49435e8
6.28319,173.710,82.909,0.0183895,114795,0.122286,6.19623e8,7.57713e7,6.24238e8
6.28319,181.995,85.678,0.0184498,110464,0.126758,5.93975e8,7.52909e7,5.98728e8
6.28319,190.278,88.462,0.0185049,106492,0.129903,5.70681e8,7.41331e7,5.75476e8
6.28319,198.564,91.218,0.0185604,102525,0.133721,5.47512e8,7.32138e7,5.52386e8
6.28319,206.849,94.059,0.0186111,98793.2,0.136291,5.25967e8,7.16845e7,5.30829e8
6.28319,215.132,96.803,0.0186634,94959.2,0.140509,5.03849e8,7.07951e7,5.08798e8
6.28319,223.418,99.575,0.0187118,91322.2,0.143854,4.83073e8,6.94920e7,4.88046e8
6.28319,231.701,102.364,0.0187587,87768.4,0.147447,4.62876e8,6.82497e7,4.67880e8
6.28319,239.986,105.132,0.0188020,84457.0,0.150196,4.44208e8,6.67183e7,4.49191e8
6.28319,248.270,107.908,0.0188452,81229.9,0.152096,4.26138e8,6.48137e7,4.31039e8
6.28319,256.555,110.697,0.0188876,77929.8,0.157606,4.07567e8,6.42351e7,4.12598e8
6.28319,264.838,113.460,0.0189275,74778.2,0.158721,3.90193e8,6.19317e7,3.95077e8
6.28319,273.124,116.215,0.0189648,71919.3,0.161934,3.74348e8,6.06198e7,3.79224e8
6.28319,285.858,120.476,0.0190174,67728.5,0.166830,3.51284e8,5.86046e7,3.56139e8
6.28319,294.128,123.223,0.0190517,65076.5,0.170899,3.36697e8,5.75411e7,3.41578e8
6.28319,302.413,126.021,0.0190833,62537.7,0.172472,3.22942e8,5.56985e7,3.27710e8
6.28319,310.697,128.798,0.0191152,60018.7,0.175235,3.09271e8,5.41953e7,3.13984e8
6.28319,318.982,130.257,0.0191454,57491.9,0.177406,2.95674e8,5.24544e7,3.00291e8
6.28319,333.896,130.172,0.0191671,55194.7,0.171511,2.83822e8,4.86786e7,2.87966e8

