Filename,60H_4_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,29.571,0.0148546,282758,0.0385695,1.90209e9,7.33628e7,1.90351e9
6.28319,16.3065,31.133,0.0148572,282615,0.0380312,1.90083e9,7.22908e7,1.90220e9
6.28319,24.5920,33.082,0.0148688,281952,0.0382794,1.89487e9,7.25345e7,1.89626e9
6.28319,32.8752,35.644,0.0148938,280815,0.0392314,1.88401e9,7.39123e7,1.88546e9
6.28319,41.1605,38.181,0.0149268,279314,0.0412273,1.86963e9,7.70798e7,1.87122e9
6.28319,49.4438,40.863,0.0149775,276874,0.0422408,1.84696e9,7.80171e7,1.84861e9
6.28319,57.7292,43.736,0.0150377,273986,0.0448104,1.82017e9,8.15626e7,1.82200e9
6.28319,66.0125,46.580,0.0151157,270229,0.0476199,1.78571e9,8.50355e7,1.78774e9
6.28319,74.2978,49.424,0.0151915,266597,0.0501103,1.75271e9,8.78286e7,1.75490e9
6.28319,82.5812,52.236,0.0152757,262322,0.0524685,1.71490e9,8.99779e7,1.71725e9
6.28319,90.8665,54.995,0.0153755,257474,0.0558754,1.67196e9,9.34214e7,1.67457e9
6.28319,99.1498,57.776,0.0154848,252083,0.0598904,1.62502e9,9.73234e7,1.62794e9
6.28319,107.435,60.575,0.0156071,246017,0.0629608,1.57320e9,9.90499e7,1.57631e9
6.28319,115.719,63.342,0.0157308,239750,0.0675089,1.52062e9,1.02655e8,1.52408e9
6.28319,124.004,66.115,0.0158659,233090,0.0725915,1.46527e9,1.06366e8,1.46912e9
6.28319,132.287,68.896,0.0160035,226150,0.0768608,1.40897e9,1.08295e8,1.41313e9
6.28319,140.573,71.677,0.0161429,218863,0.0812951,1.35132e9,1.09856e8,1.35578e9
6.28319,148.856,74.462,0.0162764,211949,0.0846820,1.29754e9,1.09879e8,1.30219e9
6.28319,157.141,77.298,0.0164135,204846,0.0912434,1.24287e9,1.13404e8,1.24803e9
6.28319,165.424,80.079,0.0165451,198071,0.0936325,1.19194e9,1.11605e8,1.19716e9
6.28319,173.710,82.874,0.0166611,191774,0.0969730,1.14565e9,1.11097e8,1.15103e9
6.28319,181.993,85.656,0.0167804,185253,0.0999399,1.09851e9,1.09785e8,1.10398e9
6.28319,190.279,88.463,0.0168857,179700,0.104126,1.05849e9,1.10216e8,1.06421e9
6.28319,198.564,91.256,0.0169876,174026,0.107226,1.01859e9,1.09220e8,1.02443e9
6.28319,206.847,94.040,0.0170878,168727,0.110227,9.81467e8,1.08185e8,9.87411e8
6.28319,215.133,96.802,0.0171716,164153,0.114547,9.49746e8,1.08790e8,9.55956e8
6.28319,223.416,99.562,0.0172576,159338,0.116453,9.17094e8,1.06799e8,9.23291e8
6.28319,231.701,102.321,0.0173433,154597,0.120134,8.85028e8,1.06322e8,8.91392e8
6.28319,239.984,105.144,0.0174196,150319,0.122259,8.56548e8,1.04720e8,8.62925e8
6.28319,248.270,107.888,0.0174961,146135,0.124566,8.28839e8,1.03245e8,8.35244e8
6.28319,256.553,110.647,0.0175663,142116,0.127307,8.02550e8,1.02170e8,8.09027e8
6.28319,264.839,113.403,0.0176412,137984,0.130243,7.75616e8,1.01019e8,7.82167e8
6.28319,273.122,116.192,0.0177122,134028,0.134640,7.49934e8,1.00971e8,7.56700e8
6.28319,281.407,118.948,0.0177781,130168,0.135381,7.25564e8,9.82273e7,7.32183e8
6.28319,289.887,121.745,0.0178452,126187,0.139982,7.00293e8,9.80282e7,7.07121e8
6.28319,298.130,124.569,0.0179256,121671,0.144475,6.71782e8,9.70554e7,6.78757e8
6.28319,306.413,127.336,0.0180001,117515,0.149234,6.45708e8,9.63616e7,6.52858e8
6.28319,314.699,130.107,0.0180768,113088,0.152733,6.18425e8,9.44540e7,6.25596e8
6.28319,322.982,130.169,0.0181356,109374,0.153428,5.96118e8,9.14609e7,6.03094e8
6.28319,331.267,130.206,0.0181752,106872,0.153228,5.81228e8,8.90606e7,5.88011e8

