Filename,50C_4_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.296,0.0159669,270819,0.0417334,1.69465e9,7.07237e7,1.69613e9
6.28319,16.3065,33.292,0.0159757,270273,0.0424629,1.69025e9,7.17731e7,1.69178e9
6.28319,24.5920,35.818,0.0159959,268914,0.0415828,1.67970e9,6.98465e7,1.68115e9
6.28319,32.8752,38.448,0.0160280,266747,0.0425775,1.66275e9,7.07958e7,1.66426e9
6.28319,41.1605,41.199,0.0160684,264485,0.0443190,1.64439e9,7.28776e7,1.64600e9
6.28319,49.4438,44.038,0.0161159,261402,0.0450141,1.62038e9,7.29400e7,1.62202e9
6.28319,57.7293,46.940,0.0161716,258156,0.0479697,1.59452e9,7.64886e7,1.59635e9
6.28319,66.0125,49.766,0.0162407,254013,0.0508304,1.56203e9,7.93986e7,1.56405e9
6.28319,74.2978,52.601,0.0163200,249140,0.0529636,1.52446e9,8.07408e7,1.52660e9
6.28319,82.5812,55.400,0.0164010,244136,0.0574144,1.48609e9,8.53232e7,1.48854e9
6.28319,90.8665,58.180,0.0164956,238524,0.0616564,1.44325e9,8.89853e7,1.44599e9
6.28319,102.402,62.056,0.0166367,229649,0.0666960,1.37732e9,9.18614e7,1.38038e9
6.28319,110.647,64.824,0.0167475,222647,0.0729345,1.32591e9,9.67043e7,1.32943e9
6.28319,118.932,67.643,0.0168733,215027,0.0789080,1.27041e9,1.00246e8,1.27436e9
6.28319,127.215,70.419,0.0169872,207728,0.0834856,1.21861e9,1.01737e8,1.22285e9
6.28319,135.501,73.199,0.0171068,200185,0.0895213,1.16555e9,1.04342e8,1.17021e9
6.28319,143.784,76.001,0.0172148,193040,0.0913765,1.11671e9,1.02041e8,1.12136e9
6.28319,152.070,78.773,0.0173148,186495,0.0973859,1.07201e9,1.04399e8,1.07708e9
6.28319,160.353,81.530,0.0174137,179904,0.100724,1.02791e9,1.03536e8,1.03311e9
6.28319,168.638,84.346,0.0175033,173914,0.104605,9.88214e8,1.03372e8,9.93606e8
6.28319,176.922,87.088,0.0175810,168641,0.106671,9.53811e8,1.01744e8,9.59222e8
6.28319,185.207,89.826,0.0176488,164016,0.108283,9.23929e8,1.00046e8,9.29330e8
6.28319,193.490,92.588,0.0177279,158795,0.113409,8.90030e8,1.00937e8,8.95735e8
6.28319,201.776,95.362,0.0177828,154682,0.112450,8.64394e8,9.72014e7,8.69842e8
6.28319,210.059,98.098,0.0178485,150529,0.118633,8.37501e8,9.93557e7,8.43374e8
6.28319,218.344,100.861,0.0179027,146645,0.118557,8.13425e8,9.64375e7,8.19122e8
6.28319,226.628,103.586,0.0179609,142527,0.120382,7.87855e8,9.48437e7,7.93543e8
6.28319,234.913,106.389,0.0180173,138667,0.121730,7.63994e8,9.30013e7,7.69634e8
6.28319,243.198,109.161,0.0180696,134960,0.125033,7.41121e8,9.26647e7,7.46892e8
6.28319,251.482,111.987,0.0181255,131089,0.128207,7.17359e8,9.19702e7,7.23230e8
6.28319,259.767,114.747,0.0181816,127252,0.129253,6.94120e8,8.97172e7,6.99894e8
6.28319,268.050,117.506,0.0182337,123231,0.130628,6.70150e8,8.75407e7,6.75844e8
6.28319,276.336,120.250,0.0182980,118905,0.136012,6.43896e8,8.75774e7,6.49824e8
6.28319,284.621,123.026,0.0183525,114808,0.137319,6.19753e8,8.51041e7,6.25569e8
6.28319,292.904,125.793,0.0184140,110736,0.141406,5.95444e8,8.41991e7,6.01368e8
6.28319,301.190,128.579,0.0184703,106520,0.145044,5.70734e8,8.27817e7,5.76706e8
6.28319,309.473,130.373,0.0185307,102130,0.145279,5.45411e8,7.92364e7,5.51136e8
6.28319,317.758,130.266,0.0185524,100214,0.143748,5.34674e8,7.68584e7,5.40170e8

