Filename,50E_4_B
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,29.485,0.0191595,335944,0.0392291,1.75207e9,6.87320e7,1.75341e9
6.28319,16.3085,32.926,0.0191744,332635,0.0393067,1.73345e9,6.81361e7,1.73478e9
6.28319,24.5918,35.935,0.0191961,328373,0.0417739,1.70913e9,7.13972e7,1.71062e9
6.28319,32.8772,38.821,0.0192217,324091,0.0434330,1.68448e9,7.31619e7,1.68607e9
6.28319,41.1605,41.731,0.0192449,318861,0.0459395,1.65512e9,7.60351e7,1.65686e9
6.28319,49.4458,44.557,0.0192704,313192,0.0477909,1.62340e9,7.75836e7,1.62525e9
6.28319,57.7292,47.332,0.0192969,307400,0.0500201,1.59101e9,7.95824e7,1.59300e9
6.28319,66.0145,50.073,0.0193306,301010,0.0532186,1.55497e9,8.27534e7,1.55717e9
6.28319,74.2978,52.837,0.0193589,294385,0.0549248,1.51838e9,8.33967e7,1.52067e9
6.28319,82.5832,55.583,0.0193878,286607,0.0582442,1.47578e9,8.59558e7,1.47828e9
6.28319,90.8667,58.340,0.0194241,279135,0.0610801,1.43438e9,8.76123e7,1.43706e9
6.28319,99.1518,61.087,0.0194550,271041,0.0650987,1.39023e9,9.05019e7,1.39317e9
6.28319,107.435,63.857,0.0194931,261935,0.0688091,1.34056e9,9.22430e7,1.34373e9
6.28319,115.721,66.636,0.0195265,253111,0.0731381,1.29279e9,9.45520e7,1.29624e9
6.28319,124.004,69.409,0.0195582,243817,0.0771040,1.24293e9,9.58352e7,1.24662e9
6.28319,132.289,72.227,0.0195951,234373,0.0816295,1.19211e9,9.73115e7,1.19608e9
6.28319,140.573,75.002,0.0196254,225075,0.0876937,1.14247e9,1.00188e8,1.14686e9
6.28319,148.858,77.785,0.0196551,215817,0.0906427,1.09354e9,9.91213e7,1.09802e9
6.28319,157.141,80.548,0.0196809,207088,0.0965707,1.04735e9,1.01144e8,1.05223e9
6.28319,165.426,83.344,0.0197020,199081,0.0992739,1.00552e9,9.98216e7,1.01046e9
6.28319,173.710,86.089,0.0197183,191557,0.101600,9.66493e8,9.81958e7,9.71469e8
6.28319,181.995,88.877,0.0197360,184666,0.105097,9.30554e8,9.77982e7,9.35679e8
6.28319,190.278,91.612,0.0197493,178105,0.107417,8.96674e8,9.63177e7,9.01832e8
6.28319,198.564,94.346,0.0197635,171504,0.111316,8.62453e8,9.60050e7,8.67780e8
6.28319,206.847,97.147,0.0197767,165898,0.113851,8.33476e8,9.48919e7,8.38860e8
6.28319,215.132,99.935,0.0197825,160622,0.114992,8.06626e8,9.27558e7,8.11942e8
6.28319,223.416,102.711,0.0197919,155365,0.118485,7.79540e8,9.23638e7,7.84993e8
6.28319,231.701,105.466,0.0197984,150493,0.118814,7.54816e8,8.96830e7,7.60125e8
6.28319,239.985,108.215,0.0198079,145835,0.122072,7.30824e8,8.92129e7,7.36249e8
6.28319,248.270,111.022,0.0198152,141211,0.124265,7.07202e8,8.78803e7,7.12642e8
6.28319,256.553,113.811,0.0198220,136694,0.126688,6.84142e8,8.66723e7,6.89610e8
6.28319,264.839,116.580,0.0198287,132519,0.127422,6.62959e8,8.44754e7,6.68319e8
6.28319,273.122,119.330,0.0198327,128242,0.130007,6.41225e8,8.33634e7,6.46621e8
6.28319,281.407,122.088,0.0198374,123593,0.130923,6.17759e8,8.08788e7,6.23031e8
6.28319,289.693,124.831,0.0198430,119542,0.134408,5.97074e8,8.02515e7,6.02443e8
6.28319,297.976,127.622,0.0198454,114980,0.135452,5.74134e8,7.77678e7,5.79377e8
6.28319,306.261,130.352,0.0198516,110778,0.139298,5.52694e8,7.69891e7,5.58030e8
6.28319,314.545,130.254,0.0198521,107979,0.139414,5.38707e8,7.51031e7,5.43917e8
6.28319,322.830,130.223,0.0198477,105880,0.135906,5.28602e8,7.18401e7,5.33462e8

