Filename,50F_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.348,0.0172056,187424,0.0486129,1.08804e9,5.28925e7,1.08932e9
6.28319,16.3085,33.314,0.0172141,186846,0.0488479,1.08413e9,5.29575e7,1.08542e9
6.28319,24.5920,35.803,0.0172326,185559,0.0486807,1.07551e9,5.23568e7,1.07679e9
6.28319,32.8773,38.523,0.0172567,184081,0.0501343,1.06538e9,5.34121e7,1.06672e9
6.28319,41.1605,41.266,0.0172899,181989,0.0515068,1.05118e9,5.41428e7,1.05257e9
6.28319,55.3843,46.135,0.0173558,177871,0.0560178,1.02324e9,5.73198e7,1.02485e9
6.28319,63.6448,48.998,0.0174025,174889,0.0586721,1.00324e9,5.88621e7,1.00497e9
6.28319,71.9302,51.870,0.0174519,171726,0.0603932,9.82210e8,5.93189e7,9.84000e8
6.28319,80.2133,54.644,0.0175093,168191,0.0646302,9.58586e8,6.19536e7,9.60585e8
6.28319,101.361,61.722,0.0176635,158062,0.0744922,8.92379e8,6.64753e7,8.94852e8
6.28319,109.633,64.485,0.0177299,153727,0.0780211,8.64422e8,6.74432e7,8.67049e8
6.28319,117.918,67.238,0.0178066,148860,0.0824948,8.33155e8,6.87309e7,8.35985e8
6.28319,126.202,70.076,0.0178777,144040,0.0857606,8.02751e8,6.88444e7,8.05697e8
6.28319,134.487,72.849,0.0179514,139288,0.0915084,7.72691e8,7.07077e7,7.75920e8
6.28319,142.770,75.635,0.0180204,134779,0.0954220,7.44545e8,7.10459e7,7.47927e8
6.28319,151.056,78.416,0.0180866,130253,0.0997103,7.16611e8,7.14535e7,7.20164e8
6.28319,159.339,81.166,0.0181476,125997,0.101616,6.90733e8,7.01892e7,6.94290e8
6.28319,167.624,83.942,0.0182073,121890,0.106055,6.65724e8,7.06036e7,6.69457e8
6.28319,175.908,86.747,0.0182668,117838,0.108124,6.41359e8,6.93460e7,6.45097e8
6.28319,187.376,90.548,0.0183494,112272,0.114390,6.07891e8,6.95369e7,6.11855e8
6.28319,195.638,93.325,0.0184022,108466,0.116822,5.85438e8,6.83917e7,5.89419e8
6.28319,203.923,96.173,0.0184574,104672,0.119786,5.63074e8,6.74485e7,5.67099e8
6.28319,212.207,98.937,0.0185098,101114,0.124204,5.42105e8,6.73314e7,5.46270e8
6.28319,220.492,101.684,0.0185646,97195.0,0.127132,5.19370e8,6.60285e7,5.23550e8
6.28319,228.775,104.465,0.0186139,93669.7,0.129630,4.99048e8,6.46916e7,5.03224e8
6.28319,237.061,107.216,0.0186632,90010.2,0.133373,4.78053e8,6.37592e7,4.82286e8
6.28319,245.344,110.035,0.0187098,86797.4,0.136109,4.59676e8,6.25662e7,4.63914e8
6.28319,253.630,112.824,0.0187538,83511.8,0.137382,4.41162e8,6.06079e7,4.45305e8
6.28319,261.913,115.586,0.0187998,80166.0,0.139542,4.22328e8,5.89326e7,4.26420e8
6.28319,270.198,118.346,0.0188388,77133.7,0.140812,4.05442e8,5.70910e7,4.09442e8
6.28319,278.482,121.112,0.0188800,74201.3,0.143953,3.89005e8,5.59984e7,3.93015e8
6.28319,286.767,123.876,0.0189193,71377.5,0.145668,3.73333e8,5.43828e7,3.77273e8
6.28319,295.050,126.599,0.0189524,68683.3,0.148444,3.58471e8,5.32128e7,3.62399e8
6.28319,303.336,129.410,0.0189888,66064.5,0.151289,3.43998e8,5.20432e7,3.47912e8
6.28319,311.619,130.026,0.0190210,63676.2,0.152783,3.30929e8,5.05604e7,3.34769e8
6.28319,319.904,130.139,0.0190340,62387.0,0.150147,3.24133e8,4.86675e7,3.27766e8

