Filename,50G_1_A
Instrument name,RSAG2
Operator,
rundate,5/28/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,31.864,0.0168740,198426,0.0520875,1.17433e9,6.11680e7,1.17592e9
6.28319,16.3063,33.632,0.0168769,198150,0.0512353,1.17255e9,6.00760e7,1.17409e9
6.28319,24.5917,35.914,0.0168868,197541,0.0510299,1.16828e9,5.96170e7,1.16980e9
6.28319,32.8752,38.562,0.0169074,196365,0.0520956,1.15984e9,6.04225e7,1.16141e9
6.28319,41.1603,41.309,0.0169326,194810,0.0530862,1.14888e9,6.09899e7,1.15050e9
6.28319,49.4437,44.105,0.0169692,192722,0.0552168,1.13398e9,6.26150e7,1.13571e9
6.28319,57.7292,46.936,0.0170124,190095,0.0568927,1.11559e9,6.34689e7,1.11739e9
6.28319,66.0123,49.773,0.0170631,187242,0.0603127,1.09536e9,6.60641e7,1.09735e9
6.28319,74.2977,52.647,0.0171191,183922,0.0627284,1.07226e9,6.72611e7,1.07437e9
6.28319,82.5812,55.461,0.0171843,180237,0.0673729,1.04647e9,7.05040e7,1.04885e9
6.28319,90.8663,58.258,0.0172541,176143,0.0705061,1.01835e9,7.17998e7,1.02088e9
6.28319,99.1497,61.028,0.0173314,171637,0.0757482,9.87494e8,7.48009e7,9.90323e8
6.28319,107.435,63.803,0.0174157,166640,0.0805430,9.53753e8,7.68181e7,9.56842e8
6.28319,115.718,66.588,0.0174955,161732,0.0843555,9.21144e8,7.77036e7,9.24416e8
6.28319,124.004,69.399,0.0175868,156199,0.0907773,8.84525e8,8.02948e7,8.88162e8
6.28319,132.287,72.159,0.0176662,151224,0.0934372,8.52295e8,7.96360e7,8.56007e8
6.28319,140.572,74.920,0.0177487,146212,0.0990459,8.19780e8,8.11958e7,8.23791e8
6.28319,148.856,77.690,0.0178276,141271,0.101925,7.88341e8,8.03518e7,7.92425e8
6.28319,157.141,80.463,0.0179000,136604,0.106114,7.58886e8,8.05281e7,7.63147e8
6.28319,165.424,83.237,0.0179754,131893,0.109687,7.29365e8,8.00022e7,7.33740e8
6.28319,173.710,86.016,0.0180428,127513,0.112588,7.02284e8,7.90691e7,7.06722e8
6.28319,181.993,88.792,0.0181069,123364,0.116591,6.76723e8,7.88998e7,6.81307e8
6.28319,190.278,91.585,0.0181735,119082,0.119646,6.50609e8,7.78429e7,6.55249e8
6.28319,198.562,94.349,0.0182346,115070,0.123541,6.26295e8,7.73730e7,6.31057e8
6.28319,206.847,97.122,0.0182956,111201,0.126435,6.03004e8,7.62405e7,6.07805e8
6.28319,215.130,99.891,0.0183571,107081,0.130185,5.78442e8,7.53046e7,5.83323e8
6.28319,223.416,102.695,0.0184128,103213,0.131623,5.55758e8,7.31507e7,5.60551e8
6.28319,231.699,105.483,0.0184676,99566.0,0.134436,5.34331e8,7.18335e7,5.39138e8
6.28319,246.854,110.499,0.0185705,92676.6,0.141340,4.94142e8,6.98420e7,4.99053e8
6.28319,255.101,113.272,0.0186212,89181.8,0.144022,4.74035e8,6.82715e7,4.78926e8
6.28319,263.387,116.092,0.0186704,85759.4,0.145749,4.54531e8,6.62475e7,4.59334e8
6.28319,271.670,118.849,0.0187194,82438.9,0.150068,4.35515e8,6.53570e7,4.40392e8
6.28319,279.955,121.623,0.0187652,79132.9,0.150941,4.16976e8,6.29387e7,4.21699e8
6.28319,288.238,124.391,0.0188073,76145.6,0.153173,4.00205e8,6.13006e7,4.04872e8
6.28319,296.524,127.173,0.0188483,73224.9,0.155275,3.83896e8,5.96096e7,3.88496e8
6.28319,304.807,129.922,0.0188850,70496.0,0.154077,3.68938e8,5.68450e7,3.73292e8
6.28319,313.092,130.179,0.0189130,68454.6,0.154785,3.57686e8,5.53644e7,3.61945e8
6.28319,321.376,130.230,0.0189284,67079.2,0.151277,3.50398e8,5.30071e7,3.54384e8

