Filename,60A_1_A
Instrument name,RSAG2
Operator,
rundate,5/29/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02517,31.061,0.0170499,201120,0.0535496,1.17791e9,6.30765e7,1.17960e9
6.28319,16.3085,33.214,0.0170598,200463,0.0536202,1.17338e9,6.29166e7,1.17506e9
6.28319,24.5918,35.790,0.0170817,198924,0.0535739,1.16288e9,6.22997e7,1.16454e9
6.28319,32.8772,38.463,0.0171147,196964,0.0557403,1.14906e9,6.40492e7,1.15085e9
6.28319,41.1605,41.271,0.0171496,194700,0.0574865,1.13343e9,6.51570e7,1.13530e9
6.28319,49.4458,44.091,0.0171976,191832,0.0608648,1.11340e9,6.77666e7,1.11546e9
6.28319,57.7293,46.969,0.0172510,188417,0.0635750,1.09001e9,6.92974e7,1.09221e9
6.28319,66.0145,49.796,0.0173115,184358,0.0659501,1.06264e9,7.00811e7,1.06495e9
6.28319,74.2978,52.588,0.0173788,180134,0.0696370,1.03401e9,7.20055e7,1.03652e9
6.28319,82.5833,55.391,0.0174481,175606,0.0740062,1.00370e9,7.42802e7,1.00645e9
6.28319,90.8665,58.208,0.0175252,170717,0.0784395,9.71137e8,7.61755e7,9.74120e8
6.28319,99.1518,60.939,0.0176074,165271,0.0821424,9.35493e8,7.68437e7,9.38644e8
6.28319,107.435,63.784,0.0176994,159448,0.0879053,8.97405e8,7.88867e7,9.00865e8
6.28319,115.721,66.582,0.0177878,153665,0.0931904,8.60152e8,8.01579e7,8.63879e8
6.28319,124.004,69.377,0.0178783,147348,0.0980466,8.20238e8,8.04216e7,8.24172e8
6.28319,132.289,72.181,0.0179626,141783,0.101972,7.85253e8,8.00742e7,7.89325e8
6.28319,140.572,74.946,0.0180477,136184,0.109854,7.50067e8,8.23977e7,7.54579e8
6.28319,148.858,77.732,0.0181242,131015,0.112541,7.18339e8,8.08426e7,7.22874e8
6.28319,157.141,80.563,0.0181945,125977,0.116689,6.87720e8,8.02496e7,6.92387e8
6.28319,165.426,83.329,0.0182637,121149,0.121119,6.58520e8,7.97591e7,6.63332e8
6.28319,173.710,86.112,0.0183240,116877,0.123536,6.33021e8,7.82007e7,6.37833e8
6.28319,181.995,88.853,0.0183865,112400,0.127490,6.06409e8,7.73110e7,6.11317e8
6.28319,190.279,91.593,0.0184463,108333,0.131981,5.82239e8,7.68447e7,5.87289e8
6.28319,198.564,94.412,0.0185068,103973,0.135149,5.56748e8,7.52440e7,5.61810e8
6.28319,206.847,97.199,0.0185610,100087,0.137997,5.34170e8,7.37137e7,5.39232e8
6.28319,215.132,99.970,0.0186121,96234.3,0.142613,5.11872e8,7.29996e7,5.17051e8
6.28319,223.418,102.750,0.0186613,92674.8,0.143568,4.91575e8,7.05744e7,4.96615e8
6.28319,231.701,105.503,0.0187043,89397.7,0.145098,4.73000e8,6.86313e7,4.77954e8
6.28319,239.986,108.288,0.0187479,86178.5,0.149080,4.54646e8,6.77785e7,4.59670e8
6.28319,248.270,111.020,0.0187915,83093.9,0.151575,4.37196e8,6.62679e7,4.42190e8
6.28319,256.555,113.739,0.0188319,80188.8,0.154007,4.20853e8,6.48142e7,4.25814e8
6.28319,264.839,116.478,0.0188698,77381.0,0.155976,4.05180e8,6.31982e7,4.10079e8
6.28319,273.124,119.211,0.0189043,74655.1,0.159196,3.90000e8,6.20865e7,3.94911e8
6.28319,281.407,121.961,0.0189417,71883.3,0.163223,3.74542e8,6.11340e7,3.79498e8
6.28319,289.693,124.747,0.0189768,69245.2,0.164744,3.60040e8,5.93144e7,3.64893e8
6.28319,297.976,127.508,0.0190116,66410.3,0.166165,3.44590e8,5.72589e7,3.49315e8
6.28319,306.261,130.256,0.0190425,64085.6,0.167402,3.31922e8,5.55643e7,3.36541e8
6.28319,314.545,130.196,0.0190662,62155.8,0.169450,3.21418e8,5.44643e7,3.26000e8
6.28319,322.830,130.182,0.0190750,61300.7,0.165912,3.17033e8,5.25995e7,3.21367e8

