Filename,60A_1_B
Instrument name,RSAG2
Operator,
rundate,5/31/2018
proceduresegments,Standard Oscillatory Temperature Ramp
[step]
Temperature Ramp - 1
Angular frequency,Step time,Temperature,Oscillation strain,Oscillation stress,Tan(delta),Storage modulus,Loss modulus,Complex modulus
rad/s,s,°C,%,Pa,,Pa,Pa,Pa
6.28319,8.02500,27.694,0.0189754,367058,0.0384953,1.93296e9,7.44100e7,1.93439e9
6.28319,16.3083,30.311,0.0189873,365396,0.0396805,1.92291e9,7.63018e7,1.92442e9
6.28319,24.5937,33.064,0.0190047,362889,0.0412656,1.90784e9,7.87284e7,1.90947e9
6.28319,32.8770,35.921,0.0190264,359347,0.0421213,1.88700e9,7.94827e7,1.88867e9
6.28319,41.1623,38.696,0.0190521,355155,0.0449396,1.86224e9,8.36884e7,1.86412e9
6.28319,52.9048,42.591,0.0190968,348996,0.0488729,1.82533e9,8.92092e7,1.82751e9
6.28319,61.1488,45.322,0.0191273,343414,0.0517836,1.79301e9,9.28485e7,1.79541e9
6.28319,69.4322,48.066,0.0191676,337182,0.0549598,1.75647e9,9.65353e7,1.75912e9
6.28319,77.7177,50.817,0.0192072,330199,0.0583676,1.71622e9,1.00172e8,1.71914e9
6.28319,86.0008,53.549,0.0192514,322057,0.0620955,1.66968e9,1.03680e8,1.67290e9
6.28319,94.2862,56.302,0.0192948,313943,0.0655839,1.62360e9,1.06482e8,1.62709e9
6.28319,102.572,59.065,0.0193359,305041,0.0694754,1.57380e9,1.09340e8,1.57759e9
6.28319,110.855,61.819,0.0193799,296196,0.0728483,1.52433e9,1.11045e8,1.52837e9
6.28319,119.140,64.656,0.0194274,286572,0.0792280,1.47048e9,1.16503e8,1.47509e9
6.28319,127.424,67.424,0.0194719,276171,0.0828424,1.41347e9,1.17095e8,1.41831e9
6.28319,135.709,70.217,0.0195130,266081,0.0877849,1.35838e9,1.19246e8,1.36361e9
6.28319,143.992,72.961,0.0195563,256094,0.0933415,1.30386e9,1.21704e8,1.30952e9
6.28319,152.278,75.738,0.0195971,246058,0.0979796,1.24960e9,1.22435e8,1.25558e9
6.28319,160.561,78.537,0.0196319,236347,0.103825,1.19745e9,1.24325e8,1.20389e9
6.28319,168.846,81.311,0.0196631,227155,0.106892,1.14869e9,1.22786e8,1.15523e9
6.28319,177.861,84.336,0.0196909,217963,0.111405,1.10012e9,1.22558e8,1.10692e9
6.28319,186.129,87.108,0.0197116,210004,0.115561,1.05834e9,1.22303e8,1.06538e9
6.28319,194.414,89.878,0.0197340,202569,0.118379,1.01938e9,1.20673e8,1.02650e9
6.28319,202.698,92.719,0.0197479,195116,0.120109,9.80984e8,1.17825e8,9.88035e8
6.28319,210.983,95.482,0.0197623,188349,0.122835,9.45966e8,1.16198e8,9.53075e8
6.28319,219.266,98.231,0.0197769,182170,0.125307,9.13977e8,1.14528e8,9.21124e8
6.28319,227.552,100.997,0.0197921,176116,0.130516,8.82350e8,1.15160e8,8.89833e8
6.28319,235.835,103.732,0.0198020,170473,0.131111,8.53580e8,1.11913e8,8.60885e8
6.28319,244.120,106.473,0.0198138,165248,0.135624,8.26436e8,1.12084e8,8.34002e8
6.28319,252.404,109.315,0.0198281,160247,0.139859,8.00393e8,1.11942e8,8.08183e8
6.28319,260.689,112.046,0.0198402,155574,0.144257,7.76102e8,1.11958e8,7.84136e8
6.28319,268.972,114.834,0.0198466,150692,0.146042,7.51310e8,1.09723e8,7.59280e8
6.28319,277.258,117.597,0.0198553,146343,0.149474,7.28948e8,1.08959e8,7.37047e8
6.28319,285.541,120.356,0.0198642,141486,0.154223,7.03943e8,1.08564e8,7.12265e8
6.28319,293.826,123.094,0.0198731,136207,0.155754,6.77219e8,1.05479e8,6.85384e8
6.28319,302.110,125.930,0.0198782,130873,0.160199,6.50087e8,1.04143e8,6.58376e8
6.28319,310.395,128.693,0.0198859,125575,0.163933,6.23162e8,1.02157e8,6.31479e8
6.28319,318.678,130.342,0.0198915,120492,0.166862,5.97485e8,9.96977e7,6.05746e8
6.28319,326.964,130.254,0.0198873,116998,0.164766,5.80476e8,9.56428e7,5.88303e8

