treatment,adhesive,orientation,no.,Gc,Et,C0,Fmax,Gf
control,EPI,R,1,0.719,755,0.00702,86.4,894
control,EPI,R,2,1.121,970,0.00545,149.6,1095
control,EPI,R,3,0.703,701,0.00764,88.2,923
control,EPI,R,4,1.187,801,0.00649,126.5,1388
control,EPI,R,5,0.661,717,0.00767,112.4,809
control,EPI,R,6,0.673,829,0.00696,113.3,1222
control,EPI,R,7,0.86,751,0.00716,133.7,1201
control,EPI,R,8,0.796,870,0.00593,133,1297
control,EPI,R,9,0.637,741,0.00775,104.7,1087
control,EPI,R,10,0.621,547,0.0096,100,880
control,MUF,R,11,0.369,977,0.0073,88.2,417
control,MUF,R,12,0.431,968,0.00751,89.3,955
control,MUF,R,13,0.424,1065,0.00711,85.4,474
control,MUF,R,14,0.533,887,0.00878,90.6,673
control,MUF,R,15,0.374,941,0.00716,88.2,320
control,MUF,R,16,0.365,880,0.00745,85,482
control,MUF,R,17,0.56,807,0.00804,91,632
control,MUF,R,18,0.475,853,0.00707,103.1,674
control,MUF,R,19,0.88,591,0.01007,96,797
control,MUF,R,20,0.595,806,0.00683,108,777
control,PUR,R,21,0.119,1003,0.00517,65,171
control,PUR,R,22,0.498,802,0.00645,91.4,597
control,PUR,R,23,0.287,928,0.00712,73.3,375
control,PUR,R,24,0.141,896,0.00607,64.2,272
control,PUR,R,25,0.223,1043,0.0049,79.1,177
control,PUR,R,26,0.232,864,0.00857,58.6,287
control,PUR,R,27,0.242,1004,0.006,70.3,247
control,PUR,R,28,0.253,831,0.00629,80.9,262
control,PUR,R,29,0.193,614,0.01022,50,237
control,PUR,R,30,0.33,1009,0.00546,85.7,286
control,EPI,T,31,0.382,1442,0.00515,109.1,301
control,EPI,T,32,0.455,1854,0.00319,161.2,456
control,EPI,T,33,0.234,1362,0.00527,89.8,296
control,EPI,T,34,0.442,1480,0.00512,108.8,344
control,EPI,T,35,0.387,1891,0.00418,120.2,492
control,EPI,T,36,0.476,1710,0.00414,130.7,758
control,EPI,T,37,0.474,1696,0.0041,115.8,420
control,EPI,T,38,0.889,1629,0.00419,155,898
control,EPI,T,39,0.301,1620,0.0051,92.4,345
control,EPI,T,40,0.502,1556,0.00514,114.8,542
control,MUF,T,41,0.384,1178,0.00527,107.4,576
control,MUF,T,42,0.757,1582,0.00384,129.6,561
control,MUF,T,43,0.472,1328,0.00462,127.3,744
control,MUF,T,44,0.588,1258,0.00482,132.9,696
control,MUF,T,45,0.207,1438,0.00455,88.8,446
control,MUF,T,46,0.656,1351,0.00491,123,932
control,MUF,T,47,0.392,1504,0.00397,114.1,637
control,MUF,T,48,0.503,1397,0.00508,124.3,553
control,MUF,T,49,0.393,1408,0.00434,111.5,581
control,MUF,T,50,0.353,1548,0.00443,106.4,446
control,PUR,T,51,0.193,811,0.00648,62.5,234
control,PUR,T,52,0.191,1178,0.00507,74.4,273
control,PUR,T,53,0.244,1677,0.00323,91.6,227
control,PUR,T,54,0.214,1152,0.00468,84.3,215
control,PUR,T,55,0.203,1351,0.00397,80.7,292
control,PUR,T,56,0.149,1032,0.0058,61.5,183
control,PUR,T,57,0.155,1507,0.00401,72.6,256
control,PUR,T,58,0.145,1647,0.00339,73.6,292
control,PUR,T,59,0.271,1517,0.00381,87.8,262
control,PUR,T,60,0.1552,1467,0.00399,70.4,235
70C,EPI,R,1,0.1491,778,0.00952,51.6,192
70C,EPI,R,2,0.2879,622,0.0086,62.9,363
