Value,Dimension,Panel
-1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
0,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
-2,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
2,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
0,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
2,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
0,boring-interesting,2waycladding
-2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-2,boring-interesting,2waycladding
-2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
0,boring-interesting,2waycladding
2,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
1,boring-interesting,2waycladding
2,boring-interesting,2waycladding
2,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
-2,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
0,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
1,boring-interesting,2waycladding
-1,boring-interesting,2waycladding
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
0,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
0,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
0,boring-interesting,brownverticals
0,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
0,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
0,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
-2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
0,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
0,boring-interesting,brownverticals
0,boring-interesting,brownverticals
0,boring-interesting,brownverticals
2,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
2,boring-interesting,brownverticals
1,boring-interesting,brownverticals
0,boring-interesting,brownverticals
2,boring-interesting,brownverticals
0,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
1,boring-interesting,brownverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
0,boring-interesting,oakverticals
2,boring-interesting,oakverticals
